,id_recipe,name,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron,Saturated Fat,Cholesterol
16,6589097,Maple Turkey Brine,15 mins,20 mins,, 1 hr 35 mins,18 ,18 cups,18,180,0g,4337mg,37g,0g,1g,139mg,4.9,60, 1 hr,34g,1mg,47mg,43mg,,
17,6664486,Thanksgiving Turkey Brine,15 mins, 5 hrs,, 17 hrs 15 mins,20 ,,20,704,33g,7841mg,3g,1g,93g,981mg,4.9,45, 12 hrs,1g,2mg,151mg,7mg,9g,272mg
18,6596583,Brining and Cooking the Perfect Turkey with Delicious Gravy,30 mins, 3 hrs 15 mins,,3 days 3 hrs 45 mins,24 ,1 roast turkey with gravy,24,796,34g,4792mg,29g,2g,88g,1201mg,4.9,7,3 days,21g,6mg,136mg,7mg,11g,261mg
19,6577552,Savory Turkey Brine,10 mins,,,10 mins,12 ,,12,55,0g,5350mg,9g,0g,4g,28mg,4.7,36,,,1mg,50mg,1mg,0g,
20,6578472,Salty and Sweet Cranberry Citrus Brine,10 mins,,,10 mins,12 ,,12,169,0g,7606mg,43g,2g,1g,287mg,4.8,9,,,,,,,
21,6597483,Buttermilk-Brined Turkey,10 mins, 3 hrs 10 mins,,1 day 4 hrs 35 mins,12 ,1 12-pound turkey,12,771,36g,397mg,9g,1g,98g,1195mg,5.0,6,1 day 1 hr 15 mins,8g,2mg,293mg,7mg,11g,279mg
22,6567725,Apple Chicken Brine,5 mins,15 mins,, 1 hr 20 mins,8 ,,8,177,1g,12314mg,39g,2g,2g,297mg,5.0,6, 1 hr,33g,2mg,58mg,2mg,,
23,6599648,Grandma's Farmhouse Turkey Brine,5 mins,20 mins,, 1 hr 30 mins,7 ,7 quarts,,,,,,,,,4.7,51, 1 hr 5 mins,,,,,,
24,6568012,Sweet and Spicy Turkey Rub,10 mins,,,10 mins,12 ,12 turkey rub,12,28,0g,875mg,6g,1g,1g,69mg,5.0,2,,4g,2mg,15mg,1mg,0g,
25,6564240,Easy Pork Brine,10 mins,,,10 mins,8 ,8 servings,8,120,0g,11mg,28g,0g,1g,70mg,3.8,4,,27g,0mg,30mg,0mg,,
26,6586946,Incredible Turkey Brine,10 mins,,, 1 hr 10 mins,1 ,34 servings,1,382,1g,114785mg,97g,3g,2g,899mg,4.7,17, 1 hr,78g,20mg,445mg,7mg,0g,
27,6599245,Savory Chicken Brine, 4 hrs 15 mins,45 mins,, 5 hrs,6 ,6 servings,6,626,29g,14333mg,27g,1g,61g,501mg,4.7,12,,25g,2mg,102mg,5mg,8g,228mg
28,6592456,Crispiest Buttermilk Fried Chicken,15 mins,15 mins,, 2 hrs 30 mins,8 ,8 chicken legs,8,538,19g,3838mg,39g,1g,49g,493mg,4.8,8, 2 hrs,3g,1mg,193mg,5mg,4g,152mg
29,6576266,Holiday Turkey Brine,15 mins,5 mins,,20 mins,12 ,12 servings,12,105,1g,11308mg,23g,3g,2g,284mg,5.0,4,,16g,5mg,92mg,127mg,0g,
30,6581368,Salmon Brine That's Oh-So-Fine,10 mins,,,10 mins,1 ,1 gallon brine,1,2039,1g,91298mg,531g,5g,4g,1061mg,4.7,3,,500g,22mg,515mg,8mg,0g,
31,6664433,Spice-Rubbed Chicken Leg Quarters,20 mins, 1 hr 20 mins,, 3 hrs 40 mins,10 ,10 servings,10,500,28g,4057mg,19g,1g,42g,544mg,4.5,2, 2 hrs,,,,,8g,188mg
32,6599479,Honey Citrus Turkey Brine,10 mins,10 mins,,20 mins,20 ,20 servings,20,249,0g,16mg,66g,1g,1g,176mg,5.0,1,,64g,30mg,34mg,1mg,,
33,6570468,Honey-Apple Turkey Brine,15 mins,10 mins,, 1 hr 25 mins,12 ,12 servings,12,194,0g,7617mg,49g,1g,0g,73mg,,, 1 hr,45g,2mg,16mg,0mg,,
34,6602187,Pork or Poultry Brine,15 mins,15 mins,, 1 hr 40 mins,20 ,20 servings,20,55,0g,6854mg,15g,1g,1g,111mg,5.0,1, 1 hr 10 mins,12g,17mg,32mg,0mg,,
35,6581924,Brined Thanksgiving Turkey,30 mins, 6 hrs 30 mins,,1 day 7 hrs,12 ,1 20-pound turkey,12,1320,57g,9411mg,36g,3g,155g,1710mg,4.9,7,1 day,31g,6mg,191mg,10mg,16g,455mg
36,6739553,Spicy Mediterranean Chicken with Sausage-Stuffed Cherry Peppers,35 mins, 1 hr 20 mins,, 1 hr 55 mins,6 ,6 servings,6,389,25g,2487mg,16g,4g,25g,293mg,4.8,103,,3g,23mg,72mg,3mg,6g,75mg
37,6602871,Mighty Fine Turkey Brine,25 mins,16 mins,,41 mins,31 ,31 cups,31,102,0g,9mg,16g,1g,0g,107mg,5.0,4,,15g,6mg,20mg,0mg,,
38,6603954,Brined Turkey,20 mins,,, 12 hrs 20 mins,16 ,1 turkey,16,731,32g,11627mg,13g,0g,92g,928mg,4.8,18, 12 hrs,13g,0mg,106mg,6mg,9g,268mg
39,6594082,Harvest Turkey Brine,35 mins,10 mins,,1 day 1 hr 15 mins,20 ,1 11-pound turkey,20,477,21g,3531mg,15g,2g,52g,826mg,,,1 day 30 mins,9g,22mg,84mg,42mg,6g,170mg
40,6568436,Dry Brined Turkey,40 mins, 2 hrs 30 mins,, 12 hrs 10 mins,12 ,12 servings,12,704,33g,387mg,3g,1g,91g,961mg,4.5,2, 9 hrs,2g,2mg,95mg,6mg,10g,270mg
41,6569643,Easy Citrus Turkey Brine,10 mins,20 mins,, 1 hr 30 mins,18 ,1 to 1 batch of brine turkey,18,105,0g,2635mg,22g,1g,1g,133mg,4.5,2, 1 hr,19g,21mg,33mg,1mg,,
42,6580011,Annie's Turkey Brine,10 mins,5 mins,,45 mins,1 ,1 batch brine,1,2447,3g,486mg,622g,16g,6g,1690mg,4.8,6,30 mins,575g,196mg,953mg,13mg,1g,
43,6581890,"Orange, Tea, Bourbon-Brined Paprika Butter Turkey",15 mins, 2 hrs,, 10 hrs 45 mins,12 ,1 whole turkey breast,12,508,15g,16286mg,19g,1g,59g,734mg,4.2,6, 8 hrs 30 mins,17g,1mg,60mg,3mg,6g,126mg
44,6571512,Fruity Tutti Turkey Brine,, 5 hrs,,3 days 5 hrs,15 ,1 whole roasted turkey,15,985,38g,6881mg,60g,4g,95g,1586mg,4.8,5,3 days,42g,6mg,164mg,10mg,10g,308mg
45,6565972,Mesquite Chicken Brine,10 mins,,,10 mins,4 ,4 servings,4,173,,13375mg,43g,,,10mg,4.5,4,,38g,,29mg,,,
46,6581317,Peppered Maple and Thyme Turkey Brine,15 mins, 2 hrs 30 mins,, 2 hrs 45 mins,10 ,10 servings,10,87,1g,1658mg,27g,0g,3g,96mg,5.0,1,,19g,1mg,52mg,1mg,,
