,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Active Time:,Refrigerate Time:,Yield:,Release Pressure Time:
18,6649229,15 mins,55 mins, 1 hr 10 mins,8 ,8,363,10g,4g,70mg,800mg,39g,4g,33g,29g,21mg,76mg,3mg,711mg,4.5,226,,,,,
19,6738208,10 mins,25 mins, 4 hrs 35 mins,2 ,2,429,8g,3g,98mg,1726mg,49g,1g,43g,40g,5mg,64mg,3mg,835mg,4.7,690, 4 hrs,,,,
20,6663700,10 mins,, 6 hrs 10 mins,2 ,2,756,42g,9g,160mg,1451mg,30g,1g,21g,62g,11mg,87mg,4mg,950mg,4.7,201, 6 hrs,,,,
21,6575523,10 mins, 1 hr 10 mins, 1 hr 20 mins,6 ,6,451,21g,5g,127mg,497mg,31g,2g,3g,33g,0mg,105mg,3mg,446mg,4.3,29,,,,,
22,6663980,10 mins,35 mins,45 mins,4 ,4,325,25g,12g,91mg,525mg,1g,0g,0g,24g,0mg,261mg,1mg,259mg,4.2,492,,,,,
23,6664361,15 mins,30 mins,45 mins,6 ,6,189,5g,2g,36mg,552mg,23g,1g,20g,15g,8mg,32mg,1mg,429mg,4.4,39,,,,,
24,6663716,10 mins,20 mins,30 mins,8 ,8,199,13g,6g,54mg,333mg,3g,0g,1g,16g,1mg,20mg,1mg,372mg,4.7,616,,,,,
25,6736802,5 mins, 6 hrs, 6 hrs 5 mins,6 ,6,146,4g,2g,36mg,1337mg,11g,0g,9g,16g,2mg,24mg,1mg,308mg,4.0,"1,372",,,,,
26,6650837,15 mins,45 mins, 1 hr,2 ,2,386,15g,6g,81mg,625mg,43g,4g,35g,21g,7mg,53mg,1mg,522mg,4.5,234,,,,,
27,6663198,10 mins,10 mins,20 mins,4 ,4,327,15g,5g,189mg,407mg,10g,1g,,35g,,38mg,2mg,596mg,4.7,77,,,,,
28,6664770,10 mins, 1 hr, 1 hr 10 mins,4 ,4,419,20g,6g,107mg,1674mg,14g,0g,4g,44g,1mg,34mg,3mg,684mg,4.4,49,,,,,
29,6597188,10 mins, 2 hrs 30 mins, 2 hrs 40 mins,10 ,10,237,10g,3g,63mg,907mg,10g,1g,1g,25g,2mg,40mg,1mg,426mg,4.4,271,,,,,
30,6648582,5 mins,20 mins,25 mins,6 ,6,292,10g,3g,107mg,1232mg,8g,2g,5g,42g,3mg,23mg,2mg,648mg,4.4,156,,,,,
31,6599006,20 mins,45 mins, 1 hr 5 mins,4 ,4,475,21g,8g,99mg,1112mg,50g,3g,6g,24g,1mg,106mg,4mg,457mg,4.5,118,,,,4 stuffed pork chops,
32,6664497,10 mins,45 mins,55 mins,4 ,4,234,12g,5g,76mg,587mg,7g,,3g,23g,0mg,75mg,2mg,449mg,4.4,"1,209",,,,,
33,6649158,10 mins,20 mins,30 mins,4 ,4,287,14g,6g,66mg,150mg,18g,0g,18g,22g,1mg,23mg,1mg,383mg,4.3,261,,,,,
34,6650240,20 mins, 1 hr 30 mins, 1 hr 50 mins,6 ,6,457,20g,4g,129mg,1142mg,36g,2g,3g,30g,0mg,109mg,4mg,440mg,4.6,"6,226",,,,,
35,6663929,10 mins,15 mins,55 mins,6 ,6,448,13g,4g,142mg,2523mg,24g,1g,19g,57g,1mg,45mg,3mg,875mg,4.6,117,30 mins,,,,
36,6648420,5 mins, 3 hrs, 3 hrs 5 mins,6 ,6,544,36g,12g,106mg,1019mg,30g,1g,22g,23g,2mg,53mg,1mg,587mg,4.2,359,,,,,
37,6572070,10 mins, 2 hrs 10 mins, 2 hrs 40 mins,8 ,8,157,4g,2g,18mg,407mg,21g,3g,2g,10g,28mg,39mg,2mg,569mg,4.6,145,20 mins,,,,
38,6576604,5 mins,20 mins,30 mins,4 ,4,169,7g,3g,59mg,74mg,1g,1g,,24g,1mg,59mg,4mg,358mg,4.6,5,5 mins,,,4 pork chops,
39,6650261,10 mins,35 mins,45 mins,2 ,2,246,13g,5g,161mg,459mg,1g,0g,0g,31g,0mg,143mg,1mg,400mg,4.6,442,,,,,
40,6592774,10 mins,20 mins,30 mins,4 ,4,319,11g,4g,132mg,1135mg,41g,0g,11g,23g,5mg,38mg,1mg,435mg,4.6,5,,,,,
41,6649509,20 mins,15 mins,35 mins,6 ,6,183,5g,2g,59mg,816mg,10g,0g,9g,24g,5mg,37mg,1mg,529mg,4.2,230,,,,,
42,6595994,10 mins,25 mins,35 mins,4 ,4,350,13g,4g,107mg,513mg,14g,1g,10g,42g,3mg,43mg,2mg,648mg,4.1,11,,,,4 pork chops,
43,6651059,10 mins,15 mins, 6 hrs 25 mins,6 ,6,183,6g,2g,48mg,1235mg,11g,0g,9g,20g,2mg,16mg,1mg,310mg,4.5,377, 6 hrs,,,,
44,6648565,10 mins, 1 hr, 1 hr 10 mins,4 ,4,359,20g,10g,96mg,829mg,14g,2g,3g,30g,7mg,59mg,2mg,632mg,4.8,81,,,,,
45,6663376,15 mins,25 mins,45 mins,6 ,6,967,25g,7g,80mg,3182mg,131g,6g,15g,50g,1mg,201mg,8mg,901mg,4.7,13,5 mins,,,,
46,6648878,5 mins,25 mins,30 mins,4 ,4,601,44g,23g,165mg,621mg,11g,1g,6g,40g,2mg,207mg,2mg,829mg,4.6,"1,009",,,,,
47,6572433,15 mins,35 mins, 1 hr 10 mins,4 ,4,266,17g,9g,77mg,805mg,11g,2g,3g,18g,4mg,54mg,1mg,536mg,4.7,9,20 mins,,,,
48,6738696,15 mins, 1 hr 10 mins, 1 hr 25 mins,6 ,6,290,18g,5g,63mg,339mg,8g,2g,4g,25g,32mg,57mg,2mg,691mg,4.6,428,,,,,
49,6576019,5 mins,15 mins,30 mins,4 ,4,208,13g,7g,56mg,662mg,12g,1g,6g,11g,24mg,27mg,0mg,251mg,4.4,50,10 mins,,,,
50,6664776,10 mins,30 mins, 1 hr 10 mins,3 ,3,225,12g,3g,39mg,4157mg,12g,0g,10g,16g,1mg,35mg,2mg,358mg,4.3,34,30 mins,,,,
51,6591018,15 mins,20 mins,35 mins,4 ,4,574,22g,11g,101mg,404mg,60g,5g,7g,35g,21mg,81mg,5mg,1807mg,4.5,125,,,,,
52,6572597,5 mins,45 mins,50 mins,4 ,4,213,10g,3g,39mg,910mg,15g,0g,10g,15g,3mg,22mg,1mg,268mg,4.1,161,,,,,
53,6664224,10 mins, 4 hrs, 4 hrs 10 mins,4 ,4,457,33g,9g,104mg,352mg,5g,1g,1g,38g,1mg,46mg,2mg,605mg,4.1,"1,138",,,,,
54,6739541,15 mins,20 mins,35 mins,4 ,4,213,11g,5g,48mg,99mg,17g,2g,13g,11g,0mg,21mg,0mg,246mg,4.5,"2,405",,,,,
55,6739055,15 mins,40 mins,55 mins,4 ,4,917,57g,21g,285mg,658mg,30g,3g,5g,67g,4mg,138mg,7mg,1076mg,4.6,550,,,,,
56,6737995,10 mins,20 mins,30 mins,4 ,4,330,16g,7g,169mg,186mg,1g,,1g,43g,0mg,26mg,1mg,577mg,4.2,200,,,,,
57,6574547,5 mins, 8 hrs, 8 hrs 5 mins,4 ,4,165,5g,2g,59mg,804mg,5g,3g,2g,24g,17mg,59mg,2mg,571mg,4.2,219,,,,4 pork chops,
58,6574095,10 mins,25 mins,35 mins,4 ,4,455,28g,9g,61mg,356mg,18g,1g,6g,18g,1mg,26mg,1mg,442mg,4.6,842,,,,,
59,6648307,10 mins,45 mins,55 mins,6 ,6,521,21g,4g,121mg,816mg,49g,2g,1g,32g,0mg,81mg,5mg,512mg,4.4,576,,,,6 pork chops,
