,id_recipe,name,Prep Time:,Cook Time:,Chill Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Stand Time:,Active Time:,Bake Time:,Freeze Time:,Additional Time:
13,6663393,Apple Pie by Grandma Ople,30 mins, 1 hr,, 1 hr 30 mins,8 ,1 9-inch pie,8,373,19g,9g,31mg,124mg,52g,3g,,2g,5mg,23mg,1mg,156mg,4.8,"12,642",,,,,,
14,6650495,Sweet Potato Pie,15 mins, 1 hr 40 mins,, 1 hr 55 mins,8 ,1 (9-inch) pie,8,389,21g,10g,78mg,254mg,48g,3g,28g,5g,1mg,49mg,1mg,251mg,4.8,"3,331",,,,,,
15,6648180,Grandma's Lemon Meringue Pie,30 mins,10 mins,,40 mins,8 ,1 9-inch pie,8,298,10g,4g,110mg,229mg,50g,2g,35g,4g,21mg,35mg,1mg,97mg,4.6,"3,198",,,,,,
16,6584109,Banoffee Pie,15 mins,15 mins,, 2 hrs 45 mins,8 ,1 (9-inch) pie,8,510,30g,18g,87mg,213mg,57g,1g,43g,6g,4mg,161mg,1mg,339mg,4.5,164,,,,,, 2 hrs 15 mins
17,6664595,Libby's Famous Pumpkin Pie,10 mins,55 mins,, 1 hr 5 mins,8 ,1 9-inch deep-dish pie,8,283,12g,5g,59mg,357mg,39g,3g,26g,6g,1mg,134mg,1mg,173mg,4.8,"1,352",,,,,,
18,6648423,Graham Cracker Crust,5 mins,,,5 mins,8 ,1 8- or 9-inch crust,8,176,10g,6g,23mg,157mg,21g,1g,13g,1g,,8mg,1mg,25mg,4.7,"1,183",,,,,,
19,6649767,Homemade Fresh Pumpkin Pie,20 mins,40 mins,, 1 hr,8 ,1 (9-inch) pie,8,363,18g,6g,60mg,365mg,44g,1g,26g,7g,4mg,162mg,2mg,353mg,4.6,828,,,,,,
20,6664693,Simple Pumpkin Pie,10 mins,50 mins,, 1 hr,8 ,1 (9-inch) pie,8,478,20g,9g,69mg,313mg,67g,3g,39g,10g,4mg,220mg,2mg,426mg,4.7,124,,,,,,
21,6648191,Old-Fashioned Coconut Cream Pie,10 mins,20 mins,, 4 hrs 30 mins,8 ,1 (9-inch) pie,8,423,24g,13g,80mg,276mg,46g,2g,23g,7g,1mg,107mg,1mg,193mg,4.7,"1,916",,,,,, 4 hrs
22,6648169,Homemade Blueberry Pie,25 mins,50 mins,, 1 hr 15 mins,8 ,1 pie,8,366,17g,5g,4mg,318mg,53g,4g,26g,3g,7mg,11mg,2mg,86mg,4.6,"2,039",,,,,,
23,6663654,Key Lime Pie,15 mins,5 mins,, 1 hr 20 mins,8 ,1 9-inch pie,8,553,21g,10g,45mg,325mg,85g,1g,74g,11g,11mg,353mg,1mg,502mg,4.8,"4,221",,,,,, 1 hr
24,6737337,Peach Pie the Old Fashioned Two Crust Way,30 mins,40 mins,, 1 hr 25 mins,8 ,1 9-inch pie,8,428,20g,6g,31mg,358mg,59g,2g,30g,5g,36mg,22mg,2mg,81mg,4.6,787,,,,,,15 mins
25,6649719,Apple Pie Filling,20 mins,20 mins,, 2 hrs 40 mins,40 ,Apple filling for 5 (9-inch) pies,40,129,0g,,,61mg,33g,1g,28g,0g,3mg,7mg,0mg,63mg,4.7,453,,,,,, 2 hrs
26,6651114,Banana Cream Pie,15 mins,25 mins,, 3 hrs 40 mins,8 ,1 (9-inch) pie,8,303,11g,5g,89mg,224mg,47g,2g,30g,5g,5mg,88mg,1mg,335mg,4.5,"1,611",,,,,, 2 hrs
27,6737266,Fresh Rhubarb Pie,30 mins, 1 hr,, 1 hr 30 mins,8 ,1 9-inch pie,8,290,9g,3g,4mg,130mg,51g,2g,34g,3g,5mg,56mg,1mg,197mg,4.8,"1,329",,,,,,
28,6649097,Butter Flaky Pie Crust,15 mins,,, 4 hrs 15 mins,8 ,1 (9-inch) single pie crust,8,173,12g,7g,31mg,158mg,15g,1g,0g,2g,0mg,7mg,1mg,24mg,4.7,"2,137",,,,,, 4 hrs
29,6604880,Holiday Ginger Snap Crust,10 mins,10 mins,,20 mins,8 ,1 9-inch pie crust,8,365,18g,8g,23mg,271mg,49g,1g,,2g,,24mg,2mg,57mg,4.3,15,,,,,,
30,6664564,Crustless Cranberry Pie,15 mins,40 mins,,55 mins,8 ,1 9-inch pie,8,335,18g,8g,77mg,173mg,41g,2g,26g,5g,4mg,22mg,1mg,93mg,4.7,"1,417",,,,,,
31,6651118,Portuguese Custard Tarts (Pasteis de Nata), 1 hr,25 mins,, 4 hrs,12 ,12 tarts,12,210,11g,6g,125mg,98mg,25g,1g,14g,4g,1mg,55mg,1mg,75mg,4.8,140,,,,,, 2 hrs 35 mins
32,6740844,Buttermilk Pie,10 mins,40 mins,, 1 hr 50 mins,8 ,1 9-inch pie,8,413,21g,10g,102mg,257mg,52g,1g,39g,5g,1mg,52mg,1mg,96mg,4.6,505,,,,,, 1 hr
33,6601872,Blueberry Cream Cheese Pie,15 mins,40 mins,, 3 hrs 55 mins,8 ,1 (9x13-inch) pie,8,631,33g,12g,48mg,278mg,79g,3g,60g,9g,13mg,181mg,2mg,349mg,4.7,16,,,,,, 3 hrs
34,6737994,Strawberry Pie,15 mins,15 mins,, 3 hrs 30 mins,8 ,1 9-inch pie,8,265,11g,5g,20mg,109mg,42g,2g,29g,2g,45mg,26mg,1mg,147mg,4.6,"1,299",,,,,, 3 hrs
35,6663849,Blackberry Pie,40 mins,40 mins,, 2 hrs 20 mins,8 ,1 9-inch pie,8,248,8g,2g,0mg,119mg,42g,5g,22g,3g,15mg,29mg,1mg,145mg,4.7,731,,,,,, 1 hr
36,6648679,Double Layer Pumpkin Pie,15 mins,,, 4 hrs 15 mins,8 ,1 9-inch pie,8,356,16g,8g,18mg,690mg,51g,2g,37g,4g,3mg,76mg,2mg,207mg,4.6,364,,,,,, 4 hrs
37,6664688,Strawberry Rhubarb Pie,20 mins,35 mins,, 1 hr 25 mins,8 ,1 9-inch pie,8,437,19g,6g,33mg,259mg,64g,5g,33g,5g,57mg,72mg,2mg,341mg,4.6,"1,035",,,,,,30 mins
38,6580406,Chemical Apple Pie (No-Apple Apple Pie),10 mins,40 mins,,50 mins,8 ,1 pie,8,456,21g,6g,8mg,355mg,65g,2g,38g,4g,,14mg,2mg,124mg,4.1,75,,,,,,
39,6592163,Mini Pecan Pies,20 mins,25 mins,,45 mins,18 ,18 mini pies,18,319,15g,3g,35mg,163mg,45g,1g,22g,3g,0mg,17mg,1mg,54mg,4.6,18,,,,,,
40,6664586,Blueberry Galette,20 mins,45 mins,, 1 hr 35 mins,6 ,1 galette,6,423,17g,10g,72mg,180mg,64g,3g,,6g,,,,137mg,5.0,5,,,,,,30 mins
41,6664339,Chocolate Pecan Pie,10 mins,40 mins,,50 mins,8 ,1 (9-inch) pie,8,736,39g,13g,70mg,402mg,92g,2g,28g,8g,0mg,30mg,1mg,100mg,4.4,105,,,,,,
42,6649290,Chocolate Cream Pie,15 mins,5 mins,, 2 hrs 20 mins,8 ,1 (9-inch) pie,8,490,19g,8g,101mg,394mg,72g,2g,46g,9g,0mg,137mg,3mg,214mg,4.4,697,,,,,, 2 hrs
43,6568600,Gypsy Tart,20 mins,10 mins,,30 mins,8 ,8 servings,8,338,9g,3g,12mg,170mg,61g,,51g,4g,1mg,145mg,0mg,184mg,3.9,10,,,,,,
44,6648415,Pumpkin Custard Pie,15 mins,35 mins,,50 mins,8 ,1 9-inch pie,8,326,20g,9g,89mg,298mg,34g,2g,20g,5g,3mg,57mg,1mg,203mg,4.7,69,,,,,,
45,6598591,Canned Apple Pie Filling,30 mins,10 mins,, 1 hr,56 ,7 quarts,56,97,0g,,,85mg,25g,1g,21g,0g,3mg,5mg,0mg,54mg,4.6,396,,,,,,20 mins
46,6649894,Easy Apple Pie,20 mins,40 mins,, 1 hr,8 ,1 9-inch pie,8,249,9g,3g,4mg,128mg,42g,3g,29g,2g,4mg,11mg,1mg,117mg,4.6,711,,,,,,
47,6584248,Fresh Sugar Pumpkin Pie,15 mins, 1 hr 25 mins,, 2 hrs,16 ,2 deep dish pies,16,364,17g,8g,68mg,333mg,50g,1g,27g,5g,18mg,104mg,3mg,837mg,4.9,23,,,,,,20 mins
48,6650582,Fruit Pizza,25 mins,10 mins,, 1 hr 35 mins,10 ,1 fruit pizza,10,337,18g,11g,68mg,251mg,41g,1g,,4g,6mg,28mg,1mg,149mg,4.7,790,,,,,, 1 hr
49,6587058,Chocolate Tart,20 mins,20 mins,, 3 hrs 10 mins,12 ,1 (8-inch) chocolate tart,12,322,24g,14g,48mg,114mg,29g,2g,16g,3g,0mg,26mg,2mg,133mg,,,,,,,, 2 hrs 30 mins
50,6650110,No Bake Peanut Butter Pie,20 mins,,, 2 hrs 20 mins,16 ,2 9-inch pies,16,432,28g,13g,17mg,299mg,41g,1g,31g,7g,,44mg,1mg,176mg,4.8,"2,317",,,,,, 2 hrs
51,6663607,Apple Crumb Pie,30 mins,50 mins,, 1 hr 20 mins,8 ,1 9-inch pie,8,408,15g,4g,11mg,139mg,70g,4g,49g,4g,6mg,37mg,1mg,261mg,4.7,982,,,,,,
52,6650424,Easy Homemade Pie Crust,10 mins,,,40 mins,8 ,2 pie crusts,8,346,23g,15g,61mg,150mg,30g,1g,0g,4g,,13mg,2mg,50mg,4.7,487,,,,,,30 mins
53,6741714,Three Berry Pie,30 mins,45 mins,, 1 hr 45 mins,8 ,1 9-inch berry pie,8,361,18g,4g,,147mg,48g,4g,18g,4g,22mg,17mg,2mg,131mg,4.6,482,,,,,,30 mins
54,6582773,South African Melktert (Milk Tart),20 mins,50 mins,, 1 hr 10 mins,8 ,1 9-inch pie,8,294,9g,5g,98mg,239mg,47g,0g,31g,8g,0mg,190mg,2mg,232mg,4.1,56,,,,,,
55,6740849,Apple Hand Pies,25 mins,35 mins,, 1 hr 15 mins,4 ,4 hand pies,4,728,42g,13g,62mg,754mg,82g,6g,31g,9g,5mg,38mg,4mg,215mg,4.8,168,,,,,,15 mins
56,6663360,Best Ever Pie Crust,20 mins,,,50 mins,16 ,2 9-inch pie crusts,16,170,13g,3g,,146mg,12g,0g,,2g,,3mg,1mg,17mg,4.5,"1,080",,,,,,30 mins
57,6663920,Chef John's Pumpkin Pie,15 mins,45 mins,, 1 hr,8 ,1 9-inch pie,8,320,14g,5g,117mg,465mg,42g,3g,29g,8g,4mg,170mg,2mg,324mg,4.8,923,,,,,,
58,6565652,Crumb Topping for Pies,10 mins,,,10 mins,2 ,2 cups,2,849,24g,15g,61mg,196mg,156g,2g,107g,7g,,108mg,4mg,220mg,4.5,200,,,,,,
59,6649953,Bev's Chocolate Pie,30 mins,50 mins,, 1 hr 20 mins,8 ,1 9-inch pie,8,503,20g,9g,131mg,240mg,77g,2g,61g,9g,1mg,145mg,2mg,253mg,4.4,542,,,,,,
60,6593605,Fresh Pear Pie,30 mins,45 mins,, 1 hr 15 mins,8 ,1 (9-inch) pie,8,337,13g,7g,34mg,283mg,53g,5g,30g,5g,5mg,42mg,1mg,193mg,4.8,455,,,,,,
61,6597576,Old Fashioned Raisin Pie,5 mins,40 mins,,45 mins,8 ,1 9-inch pie,8,409,17g,5g,4mg,325mg,65g,3g,35g,4g,1mg,36mg,2mg,320mg,4.8,156,,,,,,
