,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Freeze Time:
23,6563010,Classic Italian Tiramisu,30 mins,, 4 hrs, 4 hrs 30 mins,8 ,8 servings,8,601,39g,19g,357mg,186mg,47g,1g,8g,16g,0mg,140mg,3mg,185mg,5.0,1,
24,6650384,Italian Tiramisu,30 mins,, 3 hrs, 3 hrs 30 mins,6 ,6 servings,6,748,48g,24g,414mg,176mg,62g,1g,34g,17g,0mg,162mg,2mg,170mg,4.3,40,
25,6564355,Salted Caramel Tiramisu,30 mins,15 mins, 6 hrs 5 mins, 6 hrs 50 mins,8 ,8 servings,8,530,37g,21g,204mg,298mg,45g,1g,36g,6g,0mg,86mg,1mg,142mg,,,
26,6592116,Raspberry Tiramisu,45 mins,45 mins, 8 hrs, 9 hrs 30 mins,6 ,6 servings,6,1033,51g,25g,357mg,168mg,129g,7g,88g,18g,19mg,177mg,4mg,249mg,4.6,44,
27,6594670,Tiramisu Cake Balls,30 mins,50 mins, 2 hrs 30 mins, 3 hrs 50 mins,24 ,2 dozen cake balls,24,155,9g,4g,38mg,83mg,16g,,12g,2g,,26mg,0mg,28mg,5.0,2,
28,6741636,Raspberry Tiramisu Trifle,20 mins,,,20 mins,8 ,8 servings,8,229,16g,8g,128mg,57mg,17g,3g,8g,6g,10mg,64mg,1mg,98mg,4.7,3,
29,6583210,No-Bake Tiramisu Cheesecake,30 mins,12 mins, 2 hrs 50 mins, 3 hrs 32 mins,12 ,12 servings,12,467,28g,15g,67mg,349mg,48g,1g,21g,8g,3mg,143mg,2mg,233mg,4.0,6,
30,6579575,Frozen Tiramisu,,,,,14 ,14 servings,14,495,33g,19g,186mg,127mg,38g,1g,30g,9g,0mg,207mg,1mg,57mg,4.0,10,
31,6569955,Green Tea (Matcha) Tiramisu,15 mins,, 4 hrs 20 mins, 4 hrs 35 mins,6 ,1 7-inch cheesecake,6,578,50g,29g,149mg,228mg,29g,1g,19g,7g,9mg,110mg,1mg,107mg,4.0,1,
32,6599781,Tiramisu I,20 mins,, 3 hrs 40 mins, 4 hrs,12 ,1 9x13-inch baking dish,12,423,29g,15g,202mg,97mg,30g,2g,12g,10g,,82mg,2mg,151mg,4.2,36,
33,6603999,Tropical Tiramisu,15 mins,, 2 hrs, 2 hrs 15 mins,6 ,6 servings,6,483,24g,11g,42mg,294mg,65g,2g,57g,6g,10mg,106mg,2mg,295mg,3.9,12,
34,6594525,Kahlua® Oreo® Tiramisu,30 mins,5 mins, 3 hrs, 3 hrs 35 mins,10 ,10 servings,10,629,45g,22g,188mg,254mg,46g,2g,30g,8g,0mg,108mg,2mg,145mg,,,
35,6571520,Pumpkin-Coffee Tiramisu,30 mins,,,30 mins,6 ,6 individual tiramisu,6,729,53g,31g,230mg,206mg,54g,2g,31g,9g,2mg,152mg,2mg,224mg,5.0,3,
36,6569584,Twinkie® Tiramisu,15 mins,, 2 hrs, 2 hrs 15 mins,2 ,2 servings,2,1015,64g,31g,256mg,379mg,80g,0g,26g,12g,0mg,210mg,1mg,102mg,3.9,16,
37,6649168,Tiramisu Toast,10 mins,20 mins,30 mins, 1 hr,2 ,,2,472,30g,15g,163mg,400mg,36g,1g,,11g,,,,117mg,4.5,2,
38,6595666,"Red, White, and Blue-Misu",20 mins,,,20 mins,12 ,1 trifle bowl,12,384,28g,16g,74mg,242mg,30g,3g,9g,6g,26mg,120mg,1mg,170mg,4.4,10,
39,6583391,Tiramisu Ice Pops,10 mins,, 5 hrs, 5 hrs 10 mins,6 ,6 ice pops,6,195,14g,8g,38mg,29mg,12g,0g,9g,3g,0mg,71mg,0mg,81mg,4.0,1,
40,6566292,Tiramisu Dessert,20 mins,5 mins, 2 hrs, 2 hrs 25 mins,16 ,1 8x12-inch cake,16,352,23g,12g,174mg,63mg,31g,1g,15g,6g,0mg,71mg,1mg,86mg,,,
41,6561477,Cheater's Tiramisu,20 mins,30 mins,30 mins, 1 hr 20 mins,12 ,1 9x13-inch cake,12,390,26g,11g,101mg,289mg,36g,1g,25g,4g,0mg,108mg,1mg,113mg,5.0,2,
42,6585098,Rich Tiramisu,30 mins,, 3 hrs, 3 hrs 30 mins,5 ,4 to 6 servings,5,597,33g,16g,321mg,175mg,58g,1g,11g,15g,,134mg,3mg,162mg,4.0,23,
43,6581807,Tiramisu All'estate Semplice,35 mins,, 8 hrs, 8 hrs 35 mins,6 ,6 servings,6,271,15g,8g,78mg,44mg,30g,0g,18g,4g,5mg,48mg,1mg,58mg,3.0,1,
44,6564264,Megan's Tiramisu,30 mins,, 4 hrs, 4 hrs 30 mins,12 ,1 9x13-inch tiramisu,12,540,27g,15g,151mg,76mg,70g,0g,48g,6g,0mg,70mg,1mg,79mg,,,
