,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Bake Time:,Chill Time:
12,6600722,Lava Cake,10 mins,15 mins,30 mins,4 ,,4,562,50g,31g,184mg,260mg,35g,8g,17g,11g,,74mg,9mg,462mg,4.8,20,5 mins,,
13,6663240,Broiled Lobster Tails,15 mins,5 mins,20 mins,2 ,,2,592,48g,30g,303mg,891mg,7g,3g,0g,37g,42mg,140mg,1mg,628mg,4.6,477,,,
14,6664789,The Best Rolled Sugar Cookies,20 mins,, 1 hr 26 mins,60 ,60 cookies,60,110,5g,3g,25mg,93mg,15g,0g,7g,2g,,14mg,1mg,17mg,4.5,"11,117",,6 mins, 1 hr
15,6648930,Shrimp Scampi with Pasta,20 mins,20 mins,40 mins,6 ,6 servings,6,511,19g,7g,135mg,260mg,58g,4g,1g,22g,10mg,52mg,5mg,269mg,4.6,"1,419",,,
16,6649329,Strawberry Pretzel Salad,20 mins, 2 hrs 10 mins, 2 hrs 30 mins,12 ,1 9x13-inch dish,12,424,23g,16g,51mg,442mg,52g,1g,38g,5g,19mg,33mg,1mg,119mg,4.7,736,,,
17,6648191,Old-Fashioned Coconut Cream Pie,10 mins,20 mins, 4 hrs 30 mins,8 ,1 (9-inch) pie,8,423,24g,13g,80mg,276mg,46g,2g,23g,7g,1mg,107mg,1mg,193mg,4.7,"1,916", 4 hrs,,
18,6650121,Maple Salmon,10 mins,20 mins, 1 hr,4 ,,4,265,12g,3g,67mg,633mg,14g,0g,12g,23g,5mg,30mg,1mg,473mg,4.7,"5,742",30 mins,,
19,6663862,Chocolate Ganache,5 mins,5 mins,15 mins,16 ,2 cups,16,142,11g,7g,21mg,7mg,9g,1g,7g,1g,0mg,10mg,0mg,72mg,4.8,"1,175",5 mins,,
20,6648622,Easy Garlic-Lemon Scallops,10 mins,5 mins,15 mins,6 ,,6,408,24g,15g,152mg,988mg,9g,0g,0g,39g,4mg,72mg,4mg,635mg,4.6,646,,,
21,6650887,Homemade Four Cheese Ravioli,45 mins,15 mins, 2 hrs,4 ,20 ravioli,4,1270,89g,47g,407mg,1359mg,80g,7g,16g,38g,6mg,710mg,6mg,937mg,4.3,216, 1 hr,,
22,6737749,Cedar Planked Salmon,15 mins,20 mins,35 mins,6 ,,6,678,46g,9g,179mg,981mg,2g,0g,0g,61g,13mg,43mg,1mg,1144mg,4.8,859,,,
23,6664601,Cream Puffs,30 mins,25 mins,55 mins,20 ,20 to 25 cream puffs,20,190,13g,8g,77mg,231mg,15g,0g,8g,3g,0mg,40mg,1mg,64mg,4.6,"1,457",,,
24,6663649,Easy Oreo Truffles,35 mins,5 mins, 1 hr 40 mins,42 ,42 truffles,42,122,7g,4g,6mg,68mg,14g,1g,,2g,,,,27mg,4.8,"2,991", 1 hr,,
25,6569797,Peking Duck,15 mins, 1 hr 35 mins, 3 hrs 50 mins,4 ,,4,556,31g,11g,91mg,748mg,48g,2g,42g,22g,31mg,56mg,4mg,458mg,4.5,119, 2 hrs,,
26,6649453,Chocolate-Covered Strawberries,15 mins,5 mins,20 mins,24 ,,24,115,7g,4g,6mg,31mg,13g,0g,11g,1g,11mg,28mg,0mg,29mg,4.8,"1,219",,,
27,6648203,Roasted Duck,10 mins, 2 hrs, 2 hrs 10 mins,4 ,,4,625,45g,20g,280mg,1538mg,1g,1g,0g,52g,4mg,31mg,4mg,40mg,4.6,370,,,
28,6664504,Best Salmon Bake,15 mins,20 mins,35 mins,2 ,,2,386,22g,5g,112mg,407mg,5g,2g,2g,40g,19mg,59mg,1mg,894mg,4.5,43,,,
29,6737944,Fresh Raspberry Sauce,5 mins,5 mins,55 mins,12 ,3 cups,12,44,0g,,,,11g,4g,7g,1g,15mg,13mg,0mg,88mg,4.8,84,45 mins,,
30,6738935,Pineapple Upside Down Cupcakes,20 mins,20 mins,45 mins,24 ,24 cupcakes,24,237,9g,4g,33mg,174mg,39g,0g,28g,2g,4mg,22mg,0mg,90mg,4.6,282,5 mins,,
31,6737902,Strawberry Spinach Salad,10 mins,, 1 hr 20 mins,4 ,,4,491,35g,5g,,63mg,43g,6g,34g,6g,110mg,191mg,4mg,725mg,4.8,"2,974", 1 hr 10 mins,,
32,6649850,Lemon Chicken Piccata,20 mins,30 mins,50 mins,4 ,4 servings,4,421,21g,8g,128mg,348mg,16g,1g,1g,41g,20mg,38mg,2mg,388mg,4.5,"1,723",,,
33,6649773,How to Make Coquilles Saint-Jacques,20 mins,30 mins,50 mins,4 ,,4,374,22g,12g,162mg,319mg,8g,1g,2g,26g,4mg,217mg,4mg,768mg,4.8,112,,,
34,6603092,Savory Sea Scallops and Angel Hair Pasta,15 mins,10 mins,25 mins,6 ,,6,515,22g,10g,96mg,528mg,46g,3g,2g,33g,9mg,66mg,3mg,649mg,4.6,104,,,
35,6740861,Rockin' Oysters Rockefeller,30 mins,30 mins, 1 hr,16 ,,16,248,17g,11g,66mg,652mg,5g,1g,2g,16g,6mg,352mg,6mg,244mg,4.8,166,,,
36,6664442,Saganaki (Flaming Greek Cheese),10 mins,5 mins,15 mins,2 ,,2,391,25g,11g,61mg,544mg,15g,2g,0g,16g,24mg,431mg,1mg,68mg,4.8,20,,,
37,6737130,Steamed Lobster Tails,5 mins,15 mins,20 mins,4 ,,4,356,25g,15g,223mg,1987mg,1g,,,32g,,89mg,16mg,485mg,4.8,197,,,
38,7485329,Tobacco Onions,10 mins,10 mins,20 mins,4 ,,4,166,14g,1g,0mg,34mg,10g,1g,2g,1g,2mg,10mg,1mg,79mg,4.7,3,,,
39,7485249,No-Bake Chocolate Cheesecake,30 mins,, 2 hrs,8 ,1 (8-inch) cheesecake,8,405,30g,17g,61mg,191mg,32g,3g,21g,5g,0mg,60mg,3mg,198mg,5.0,1, 1 hr 30 mins,,
40,7485220,Easy Eton Mess,15 mins,,15 mins,4 ,,4,399,30g,16g,67mg,112mg,32g,6g,16g,4g,23mg,67mg,2mg,239mg,5.0,2,,,
41,6737846,Grilled Rock Lobster Tails,15 mins,10 mins,25 mins,2 ,,2,742,61g,11g,169mg,2036mg,4g,1g,0g,44g,4mg,137mg,2mg,797mg,4.8,487,,,
42,6581638,Black Bottom Cupcakes,30 mins,30 mins, 1 hr,24 ,24 cupcakes,24,171,9g,4g,18mg,145mg,22g,1g,15g,2g,,14mg,1mg,63mg,4.4,869,,,
43,6593859,Bacon-Wrapped Venison Tenderloin with Garlic Cream Sauce,15 mins, 1 hr 10 mins, 1 hr 25 mins,6 ,,6,310,20g,10g,130mg,443mg,2g,1g,0g,28g,1mg,23mg,4mg,332mg,4.8,122,,,
44,6649962,Chicken Parmigiana,30 mins, 1 hr, 1 hr 30 mins,2 ,,2,528,18g,8g,184mg,1310mg,45g,6g,17g,44g,3mg,445mg,4mg,804mg,4.6,"1,763",,,
45,6739425,Caramels,15 mins,25 mins,40 mins,60 ,60 caramels,60,115,6g,4g,20mg,30mg,15g,,11g,1g,0mg,20mg,,25mg,4.7,910,,,
46,6736962,Perfect Lobster Bisque,10 mins, 1 hr, 1 hr 10 mins,6 ,,6,191,13g,8g,66mg,554mg,5g,0g,1g,10g,1mg,97mg,0mg,263mg,4.4,145,,,
47,6604582,Eclairs,30 mins,50 mins, 1 hr 20 mins,9 ,9 eclairs,9,476,28g,17g,158mg,485mg,49g,1g,35g,8g,0mg,117mg,1mg,174mg,4.6,445,,,
48,6650682,Sautéed Sweet Plantains (Tajaditas Dulces de Platano),10 mins,5 mins,15 mins,6 ,,6,177,5g,3g,10mg,130mg,35g,2g,20g,1g,17mg,10mg,1mg,457mg,4.6,108,,,
49,6648580,White Chocolate Raspberry Cheesecake,25 mins, 1 hr 10 mins, 9 hrs 35 mins,16 ,1 9-inch cheesecake,16,412,28g,17g,96mg,226mg,34g,1g,29g,7g,3mg,116mg,1mg,109mg,4.8,"3,403", 8 hrs,,
50,6663716,Pork Chops in Garlic Mushroom Sauce,10 mins,20 mins,30 mins,8 ,,8,199,13g,6g,54mg,333mg,3g,0g,1g,16g,1mg,20mg,1mg,372mg,4.7,616,,,
51,6663671,Asparagus Quiche,20 mins,50 mins, 1 hr 10 mins,12 ,2 8-inch quiches,12,334,26g,10g,106mg,383mg,12g,1g,1g,12g,3mg,196mg,1mg,224mg,4.6,514,,,
52,6570925,Pralines,5 mins,30 mins,35 mins,20 ,,20,180,9g,3g,10mg,29mg,25g,1g,24g,1g,0mg,21mg,0mg,55mg,4.5,207,,,
53,6739287,Chef John's Meatless Meatballs,30 mins, 1 hr 15 mins, 5 hrs 45 mins,4 ,16 small meatballs,4,421,18g,6g,110mg,1695mg,50g,8g,21g,17g,15mg,215mg,4mg,1135mg,4.7,560, 4 hrs,,
54,6738727,Chef John's Shrimp Cocktail,15 mins,20 mins,50 mins,4 ,,4,306,4g,1g,345mg,1415mg,19g,2g,10g,48g,29mg,175mg,6mg,702mg,4.9,151,15 mins,,
55,6663541,Baked Salmon,15 mins,35 mins, 1 hr 50 mins,2 ,,2,613,52g,8g,75mg,1235mg,3g,1g,0g,36g,9mg,89mg,2mg,665mg,4.7,"3,305", 1 hr,,
56,6737191,Creamy Pesto Shrimp,15 mins,15 mins,30 mins,8 ,,8,646,43g,24g,210mg,437mg,43g,3g,0g,23g,2mg,254mg,4mg,217mg,4.6,"1,461",,,
57,6663471,Baked Dijon Salmon,15 mins,15 mins,30 mins,4 ,,4,422,29g,10g,97mg,480mg,18g,2g,7g,24g,27mg,53mg,1mg,500mg,4.6,"3,679",,,
58,6605569,Croissants,40 mins,15 mins, 11 hrs 15 mins,12 ,12 croissants,12,196,13g,7g,46mg,304mg,16g,1g,2g,3g,,24mg,1mg,57mg,4.2,137, 10 hrs 20 mins,,
59,6663574,Spaghetti Carbonara,20 mins,20 mins,40 mins,8 ,,8,444,21g,7g,118mg,369mg,45g,2g,2g,16g,2mg,102mg,3mg,259mg,4.4,"2,113",,,
60,6664261,Eggs Benedict,15 mins,15 mins,30 mins,4 ,,4,879,71g,39g,742mg,1719mg,30g,2g,1g,32g,3mg,126mg,4mg,450mg,4.1,568,,,
61,6650171,Chef John's Chocolate Soufflé,25 mins,25 mins,50 mins,2 ,,2,356,20g,12g,124mg,194mg,39g,2g,32g,7g,0mg,18mg,1mg,262mg,4.8,106,,,
62,6649488,Crème Brûlée French Toast,20 mins,40 mins, 9 hrs,6 ,1 9x13-inch casserole,6,510,27g,16g,218mg,359mg,59g,1g,39g,10g,1mg,133mg,2mg,221mg,4.6,"1,042", 8 hrs,,
