,id_recipe,name,Prep Time:,Cook Time:,Refrigerate Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
13,6664857,Easy Apple Slaw,25 mins,,,,25 mins,6 ,6,137,5g,1g,3mg,108mg,25g,2g,20g,1g,33mg,38mg,0mg,206mg,4.6,787,,
14,6584728,Crunchy Ramen Cabbage Salad,15 mins,5 mins,,,20 mins,6 ,6,176,14g,2g,,269mg,12g,3g,7g,2g,23mg,61mg,1mg,184mg,4.4,163,,
15,6738882,Ramen Coleslaw,15 mins,10 mins,,,25 mins,4 ,4,253,13g,2g,,543mg,31g,5g,11g,7g,47mg,132mg,2mg,305mg,4.6,680,,
16,6593790,Susan's Vinaigrette Coleslaw,15 mins,,,, 2 hrs 15 mins,6 ,6,109,7g,1g,,125mg,11g,2g,9g,1g,18mg,28mg,0mg,152mg,4.6,106, 2 hrs,
17,6575319,Hawaiian Cole Slaw,10 mins,,,,10 mins,16 ,16,86,6g,1g,4mg,116mg,8g,1g,6g,0g,8mg,15mg,0mg,75mg,4.6,120,,16 servings
18,6575012,Broccoli Slaw,10 mins,,,, 2 hrs 10 mins,,,439,27g,4g,,403mg,47g,4g,28g,5g,9mg,46mg,1mg,212mg,4.5,42, 2 hrs,8 servings
19,6591528,Quick and Easy Kimchi Salad,10 mins,,,,55 mins,6 ,6,92,6g,1g,,4736mg,10g,3g,6g,2g,44mg,58mg,1mg,235mg,4.3,8,45 mins,3 cups
20,6587998,Creamy Spiced Coleslaw,5 mins,,,, 1 hr 5 mins,8 ,8,256,23g,4g,15mg,315mg,11g,1g,4g,1g,18mg,31mg,1mg,114mg,4.7,459, 1 hr,
21,6582587,Taco Slaw,20 mins,,,,20 mins,6 ,6,27,0g,,,19mg,7g,2g,3g,1g,28mg,34mg,0mg,166mg,4.6,75,,
22,6604646,Ramen Cabbage Salad,,,,,,5 ,5,266,23g,3g,,82mg,16g,3g,12g,2g,46mg,51mg,1mg,216mg,4.6,186,,4 to 6 servings
23,6580450,Easy Apple Cabbage Slaw,10 mins,5 mins,,, 1 hr 15 mins,10 ,10,141,8g,1g,,52mg,17g,2g,14g,1g,28mg,36mg,1mg,168mg,4.6,25, 1 hr,10 servings
24,6604332,Chinese Napa Cabbage Salad,10 mins,15 mins,,,25 mins,6 ,6,405,30g,8g,20mg,590mg,28g,6g,11g,9g,61mg,323mg,4mg,665mg,4.6,386,,6 servings
25,6738569,Restaurant-Style Coleslaw,10 mins,,,, 1 hr 10 mins,8 ,8,184,13g,2g,11mg,248mg,17g,1g,9g,1g,21mg,45mg,0mg,136mg,4.7,"1,214", 1 hr,
26,6651003,Easy Chinese Chicken Salad,15 mins,,,,15 mins,6 ,6,361,29g,5g,38mg,486mg,13g,3g,7g,15g,30mg,99mg,2mg,292mg,4.2,29,,6 servings
27,6575368,Cilantro-Lime Coleslaw,25 mins,,,,25 mins,7 ,7,189,19g,3g,9mg,164mg,6g,1g,3g,1g,17mg,22mg,0mg,95mg,4.8,172,,7 servings
28,6569058,Freezer Slaw,20 mins,5 mins,,, 1 hr 25 mins,16 ,16,102,0g,,,313mg,25g,2g,22g,1g,35mg,43mg,1mg,189mg,4.6,22, 1 hr,
29,6663138,Angie's Dad's Best Cabbage Coleslaw,30 mins,,,,30 mins,20 ,20,131,8g,1g,,364mg,14g,2g,12g,1g,18mg,25mg,0mg,117mg,4.7,539,,20 servings
30,6575855,Original Blue Cheese Coleslaw,15 mins,,,,15 mins,6 ,6,236,18g,6g,28mg,434mg,12g,2g,1g,6g,28mg,177mg,1mg,328mg,4.6,48,,6 servings
31,6601451,Curtido (El Salvadoran Cabbage Salad),20 mins,5 mins,,,45 mins,4 ,4,50,0g,0g,,47mg,11g,5g,6g,2g,57mg,92mg,1mg,346mg,4.4,35,20 mins,3 cups
32,6579711,Restaurant-Style Coleslaw II,15 mins,,,, 2 hrs 15 mins,8 ,8,158,11g,2g,6mg,250mg,14g,2g,12g,2g,28mg,49mg,0mg,161mg,4.6,274, 2 hrs,8 servings
33,6580664,Pico de Gallo with Cabbage (Mexican Coleslaw),20 mins,,,, 1 hr 20 mins,10 ,10,42,0g,0g,,139mg,10g,4g,5g,2g,51mg,55mg,1mg,310mg,4.3,17, 1 hr,10 servings
34,6590966,Cindy's Coleslaw,5 mins,,,,35 mins,10 ,10,214,19g,3g,12mg,136mg,11g,1g,5g,1g,15mg,23mg,0mg,88mg,4.8,382,30 mins,10 servings
35,6575247,Weeknight Skillet Slaw,15 mins,10 mins,,,25 mins,4 ,4,302,18g,4g,88mg,682mg,13g,2g,2g,24g,40mg,82mg,3mg,414mg,4.5,158,,4 servings
36,6572224,Red BBQ Slaw,15 mins,,,, 1 hr 15 mins,8 ,8,34,0g,,,125mg,8g,1g,7g,1g,15mg,17mg,0mg,115mg,4.5,57, 1 hr,8 servings
37,6569578,Mango Cilantro Slaw,15 mins,,,, 1 hr 15 mins,4 ,4,177,13g,1g,3mg,338mg,17g,1g,15g,1g,17mg,30mg,1mg,136mg,4.7,39, 1 hr,4 servings
38,6571303,Buttermilk Coleslaw,10 mins,,,,40 mins,12 ,12,343,31g,5g,21mg,247mg,15g,1g,5g,2g,25mg,64mg,1mg,174mg,4.4,188,30 mins,12 servings
39,6573666,Brookville Hotel Sweet and Sour Coleslaw,,,,, 2 hrs 30 mins,6 ,6,252,15g,9g,54mg,423mg,30g,3g,26g,2g,42mg,72mg,1mg,223mg,4.8,48, 2 hrs 30 mins,6 servings
40,6596633,California Coleslaw,20 mins,,,,20 mins,6 ,6,237,18g,3g,,224mg,17g,4g,12g,2g,86mg,58mg,1mg,338mg,4.4,247,,6 cups
41,6571939,Quick and Easy Thai Style Coleslaw,5 mins,,,, 3 hrs 5 mins,8 ,8,119,7g,1g,5mg,150mg,13g,1g,5g,2g,21mg,30mg,1mg,148mg,3.7,49, 3 hrs,8 servings
42,6576139,Lower-Fat Coleslaw,30 mins,,,, 2 hrs 30 mins,8 ,8,56,1g,0g,0mg,362mg,12g,4g,7g,2g,56mg,74mg,1mg,304mg,4.2,29, 2 hrs,8 servings
43,6591329,Tangy Coleslaw for Pulled Pork,10 mins,5 mins,,, 1 hr 25 mins,12 ,12,202,12g,2g,,212mg,23g,3g,20g,2g,37mg,46mg,1mg,184mg,4.7,10, 1 hr 10 mins,
44,6576055,Vincent's Famous Garlic Coleslaw,15 mins,,,, 1 hr 15 mins,8 ,8,182,17g,2g,4mg,434mg,8g,3g,4g,2g,43mg,53mg,1mg,216mg,4.7,17, 1 hr,8 servings
45,6585702,Spicy Southwestern Slaw,15 mins,,,, 1 hr 30 mins,6 ,6,202,19g,1g,,15mg,8g,2g,5g,1g,42mg,24mg,0mg,178mg,4.4,153, 1 hr 15 mins,6 servings
46,6580169,Caribbean Slaw,20 mins,,,, 1 hr 20 mins,8 ,8,61,1g,0g,0mg,95mg,13g,3g,9g,2g,54mg,63mg,1mg,290mg,4.1,21, 1 hr,8 servings
47,6739792,Aw-some Coleslaw,15 mins,,,, 8 hrs 15 mins,12 ,12,108,7g,1g,4mg,81mg,10g,2g,8g,1g,22mg,32mg,0mg,128mg,4.7,665, 8 hrs,12 servings
48,6574455,Pineapple Slaw,15 mins,,,, 2 hrs 15 mins,20 ,20,70,2g,0g,1mg,141mg,13g,2g,9g,1g,55mg,30mg,1mg,171mg,4.7,21, 2 hrs,20 servings
49,6605983,Texas Coleslaw,15 mins,,,, 1 hr 15 mins,8 ,8,236,22g,3g,10mg,476mg,9g,3g,5g,2g,44mg,62mg,1mg,262mg,4.1,124, 1 hr,
50,6591758,Grandma's Pepper Slaw,10 mins,5 mins,,, 1 hr 30 mins,32 ,32,47,0g,,,6mg,12g,1g,11g,1g,16mg,19mg,0mg,67mg,4.4,15, 1 hr 15 mins,2 quarts
51,6596918,Homemade Coleslaw,25 mins,,,,25 mins,8 ,8,228,22g,3g,10mg,278mg,8g,2g,4g,1g,45mg,33mg,1mg,211mg,4.4,29,,
52,6592667,Addictive Asian Beef Slaw,20 mins,11 mins,,,31 mins,4 ,4,451,29g,8g,70mg,1254mg,27g,9g,13g,25g,150mg,153mg,4mg,999mg,4.4,135,,4 servings
53,6577021,Cabbage Slaw for Fish Tacos,15 mins,,,, 1 hr 15 mins,4 ,4,157,14g,2g,,315mg,9g,3g,5g,2g,47mg,53mg,1mg,254mg,3.0,2, 1 hr,4 servings
54,6571054,Sweet Sesame Slaw,20 mins,,,, 4 hrs 20 mins,8 ,8,290,24g,4g,10mg,190mg,19g,5g,12g,3g,58mg,77mg,1mg,317mg,4.5,82, 4 hrs,
55,6585388,Kohlrabi Slaw,25 mins,,,, 1 hr 25 mins,8 ,8,173,11g,2g,5mg,267mg,18g,5g,13g,2g,70mg,44mg,1mg,472mg,4.6,65, 1 hr,
56,6736775,Mad Hatter Salad,20 mins,15 mins,,,35 mins,12 ,12,395,29g,7g,23mg,252mg,29g,4g,10g,8g,37mg,78mg,2mg,315mg,4.8,234,,
57,6738062,Cucumber Slaw,10 mins,,,,10 mins,6 ,6,47,0g,,,337mg,11g,2g,7g,1g,5mg,29mg,0mg,226mg,4.4,38,,3 cups
