,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Vitamin C,Yield:
10,6575205,Smoked Fish Dip,15 mins,,15 mins,16 ,16,25,0g,0g,6mg,202mg,1g,,1g,4g,11mg,0mg,76mg,4.6,106,,0mg,2 cups
11,6663526,Flourless Chocolate Cake,25 mins,45 mins, 9 hrs 10 mins,16 ,16,341,24g,14g,102mg,66mg,28g,2g,24g,5g,15mg,1mg,149mg,4.7,"1,058", 8 hrs,,1 10-inch round cake
12,6737823,Candied Carrots,10 mins,25 mins,35 mins,4 ,4,150,6g,4g,15mg,123mg,25g,3g,19g,1g,52mg,1mg,386mg,4.7,847,,7mg,
13,6600659,Chicken and Red Wine Sauce,10 mins,45 mins,55 mins,12 ,12,214,4g,1g,59mg,248mg,19g,0g,18g,22g,29mg,1mg,208mg,4.1,974,,1mg,
14,6649020,Kalamata Olive Tapenade,15 mins,,15 mins,8 ,8,81,8g,1g,,359mg,3g,0g,0g,1g,11mg,0mg,18mg,4.6,234,,4mg,1 cup
15,6594528,Lemon-Orange Orange Roughy,10 mins,5 mins,15 mins,4 ,4,140,4g,1g,67mg,139mg,8g,2g,4g,19g,44mg,1mg,303mg,4.4,253,,43mg,
16,6664274,Roast Sticky Chicken-Rotisserie Style,10 mins, 5 hrs, 9 hrs 20 mins,8 ,8,586,34g,10g,194mg,1351mg,4g,1g,1g,62g,45mg,4mg,603mg,4.7,"4,532", 4 hrs 10 mins,3mg,2 whole (4 pound) chickens
17,6738294,Garlic Prime Rib,10 mins, 1 hr 30 mins, 2 hrs 50 mins,15 ,15,562,48g,19g,113mg,396mg,1g,0g,,30g,23mg,3mg,410mg,4.8,"2,351", 1 hr 10 mins,1mg,1 10-pound roast
18,6587499,Matzah,15 mins,5 mins,20 mins,8 ,8,63,1g,0g,,121mg,12g,0g,,2g,3mg,1mg,17mg,4.7,73,,,8 matzah breads
19,6739852,Roast Leg of Lamb with Rosemary,15 mins, 1 hr 20 mins, 9 hrs 45 mins,10 ,10,553,39g,17g,157mg,379mg,8g,0g,7g,41g,25mg,6mg,579mg,4.6,724, 8 hrs 10 mins,1mg,
20,6737540,Garlic Red Potatoes,10 mins,40 mins,50 mins,4 ,4,279,12g,8g,32mg,698mg,40g,5g,3g,5g,37mg,0mg,50mg,4.4,"1,377",,21mg,
21,6578182,Orange-Glazed Carrots,,15 mins,15 mins,4 ,4,136,6g,4g,15mg,131mg,21g,3g,17g,1g,48mg,1mg,312mg,4.3,546,,11mg,
22,6582572,Old-Fashioned Potato Kugel,30 mins, 1 hr 30 mins, 2 hrs,24 ,24,119,5g,1g,39mg,214mg,17g,2g,1g,3g,19mg,1mg,402mg,4.7,78,,18mg,1 9x13-inch kugel
23,6738008,Roasted Garlic Mashed Potatoes,20 mins, 1 hr, 1 hr 20 mins,8 ,8,172,8g,4g,17mg,295mg,24g,2g,2g,3g,40mg,1mg,388mg,4.6,441,,10mg,
24,6738946,Chocolate Chip Cheese Ball,15 mins,, 3 hrs 15 mins,32 ,32,102,8g,4g,15mg,42mg,7g,1g,6g,1g,10mg,0mg,36mg,4.7,"1,408", 3 hrs,,
25,6736675,Quinoa Side Dish,15 mins,20 mins,35 mins,4 ,4,207,6g,2g,8mg,400mg,32g,4g,3g,7g,41mg,2mg,287mg,4.3,717,,5mg,
26,6649968,Simple Whole Roasted Chicken,15 mins, 1 hr,1 day 1 hr 35 mins,6 ,6,387,23g,6g,129mg,900mg,2g,0g,1g,41g,27mg,2mg,371mg,4.6,"1,080",1 day 20 mins,1mg,
27,6594900,Haroset for Passover,20 mins,,20 mins,6 ,6,241,13g,1g,,3mg,28g,5g,20g,4g,31mg,1mg,252mg,4.7,94,,7mg,3 cups
28,6737929,Roast Chicken with Rosemary,10 mins, 2 hrs, 2 hrs 10 mins,6 ,6,291,17g,5g,97mg,94mg,1g,0g,1g,31g,22mg,2mg,294mg,4.6,842,,1mg,
29,6586216,Steamed Zucchini,5 mins,15 mins,20 mins,4 ,4,60,4g,1g,,6mg,6g,2g,3g,2g,32mg,1mg,492mg,4.4,83,,16mg,
30,6586960,Grilled Leg of Lamb Steaks,10 mins,10 mins,50 mins,4 ,4,327,22g,5g,93mg,112mg,2g,0g,0g,30g,25mg,3mg,410mg,4.8,13,30 mins,2mg,
31,6603755,Easy Leg of Lamb,10 mins, 2 hrs, 2 hrs 30 mins,8 ,8,346,20g,8g,126mg,93mg,3g,0g,0g,36g,31mg,3mg,483mg,4.8,42,20 mins,3mg,
32,6570652,Honey Ginger Carrots,20 mins,10 mins,30 mins,6 ,6,122,8g,5g,20mg,99mg,14g,2g,10g,1g,26mg,0mg,190mg,4.3,301,,4mg,6 servings
33,6586235,Balsamic Glazed Carrots,5 mins,10 mins,15 mins,4 ,4,82,4g,1g,,81mg,13g,3g,9g,1g,37mg,1mg,247mg,4.1,459,,3mg,4 servings
34,6650517,Best Sweet and Sour Brisket,15 mins, 2 hrs 45 mins, 11 hrs,10 ,10,401,25g,10g,75mg,1020mg,24g,1g,22g,19g,31mg,2mg,331mg,4.8,226, 8 hrs,5mg,
35,6739230,Spicy Rapid Roast Chicken,15 mins, 1 hr, 1 hr 30 mins,8 ,8,229,15g,4g,73mg,143mg,0g,0g,,23g,14mg,1mg,207mg,4.5,886,15 mins,0mg,8 servings
36,6650255,Roasted Beets and Sauteed Beet Greens,10 mins, 1 hr, 1 hr 10 mins,4 ,4,204,14g,2g,,442mg,18g,9g,8g,5g,208mg,5mg,1570mg,4.6,506,,54mg,4 servings
37,6650793,Baked Tilapia in Garlic and Olive Oil,5 mins,30 mins,1 day 35 mins,4 ,4,217,12g,2g,41mg,74mg,4g,1g,1g,24g,48mg,0mg,522mg,3.9,215,1 day,5mg,4 servings
38,6566883,Oven-Roasted Lamb Ribs,35 mins, 1 hr 30 mins, 14 hrs 10 mins,4 ,4,819,56g,23g,190mg,2088mg,33g,6g,16g,47g,183mg,8mg,1317mg,4.0,1, 12 hrs 5 mins,96mg,4 servings
39,6600608,Passover Matzo Lasagna,20 mins,30 mins,50 mins,12 ,12,242,9g,5g,84mg,637mg,23g,2g,7g,16g,203mg,2mg,315mg,4.4,30,,1mg,1 - 9x13 inch pan
40,6737968,Quinoa Tabbouleh,15 mins,15 mins,30 mins,4 ,4,354,17g,2g,,325mg,46g,9g,8g,10g,134mg,6mg,805mg,4.5,977,,63mg,4 servings
41,6738800,Chocolate-Dipped Coconut Macaroons,20 mins,20 mins, 1 hr 5 mins,24 ,24,133,10g,8g,3mg,43mg,11g,2g,9g,2g,30mg,1mg,101mg,4.5,60,25 mins,0mg,24 macaroons
42,6573042,Passover Rolls I,,,,6 ,6,312,22g,3g,124mg,241mg,23g,1g,1g,8g,23mg,2mg,86mg,4.3,34,,,12 rolls
43,6605074,Sensational Slow Cooked Beef Brisket,30 mins, 5 hrs 15 mins, 6 hrs 5 mins,10 ,10,624,46g,14g,93mg,1837mg,17g,2g,6g,27g,80mg,19mg,952mg,4.6,59,20 mins,10mg,10 servings
44,6594853,Creamy Garlic Dip,5 mins,,5 mins,16 ,16,49,5g,2g,6mg,26mg,1g,0g,0g,0g,14mg,0mg,22mg,4.2,45,,0mg,1 cup
45,6578449,Perfect Coconut Macaroons,20 mins,15 mins, 1 hr 20 mins,18 ,18,178,10g,8g,,73mg,23g,3g,19g,2g,7mg,1mg,134mg,4.6,151,45 mins,,18 macaroons
46,6571011,Amaretti,,,,12 ,12,266,14g,1g,,17mg,30g,3g,26g,7g,69mg,1mg,184mg,4.6,94,,,2 dozen
47,6602848,Tender Onion Baked Chicken,5 mins,40 mins,45 mins,4 ,4,270,13g,2g,80mg,1421mg,5g,0g,1g,32g,34mg,1mg,357mg,4.2,179,,3mg,4 servings
48,6570168,Best Matzah Balls,20 mins,25 mins, 1 hr 15 mins,16 ,16,106,6g,1g,47mg,99mg,10g,0g,0g,3g,14mg,0mg,19mg,4.9,9,30 mins,,16 servings
49,6572962,Authentic Middle Eastern Hummus (Chummus),20 mins, 2 hrs, 2 hrs 20 mins,8 ,8,551,32g,4g,,79mg,51g,15g,8g,18g,178mg,7mg,765mg,4.3,94,,7mg,8 servings
50,6650485,Fantastic Lemon Butter Fillet,15 mins,30 mins,45 mins,6 ,6,238,16g,10g,90mg,1021mg,3g,1g,0g,21g,42mg,1mg,518mg,4.3,408,,16mg,6 servings
51,6579666,Moroccan Shabbat Fish,20 mins, 1 hr, 1 hr 20 mins,6 ,6,278,12g,2g,62mg,303mg,6g,2g,3g,36g,74mg,1mg,995mg,4.4,27,,43mg,6 fillets
52,6571359,Jewish Grandma's Best Beef Brisket,20 mins, 4 hrs, 4 hrs 20 mins,10 ,10,327,26g,10g,75mg,49mg,2g,0g,1g,19g,13mg,2mg,219mg,4.3,52,,2mg,1 beef brisket
53,6579434,Matzoh Ball Soup,,,,8 ,8,583,39g,11g,217mg,512mg,10g,2g,3g,45g,60mg,3mg,634mg,4.0,18,,11mg,8 servings
54,6605733,Fried Matzoh,10 mins,20 mins,30 mins,1 ,1,485,24g,11g,403mg,876mg,49g,,3g,19g,71mg,5mg,232mg,4.6,7,,,
55,6739080,Roasted Lemon Herb Chicken,15 mins, 1 hr 30 mins, 1 hr 45 mins,8 ,8,405,29g,8g,128mg,178mg,4g,2g,0g,32g,44mg,2mg,376mg,4.6,741,,24mg,8 servings
56,6600343,Roasted Vegetable Chicken,15 mins, 2 hrs, 2 hrs 25 mins,8 ,8,459,17g,5g,97mg,148mg,40g,6g,7g,35g,74mg,3mg,1230mg,4.3,87,10 mins,40mg,
57,6595722,Asparagus Parmesan,5 mins,10 mins,15 mins,5 ,5,199,18g,6g,19mg,248mg,4g,2g,2g,8g,189mg,2mg,203mg,4.6,771,,5mg,
58,6739682,Wine-Braised Beef Brisket,15 mins, 2 hrs 30 mins, 2 hrs 45 mins,8 ,8,327,25g,9g,69mg,649mg,3g,1g,2g,18g,21mg,2mg,331mg,4.7,211,,3mg,8 servings
59,6577859,Oma's Fabulous Matzo Ball Soup,30 mins,25 mins,55 mins,10 ,10,448,14g,7g,136mg,965mg,64g,1g,4g,17g,36mg,5mg,404mg,4.2,87,,3mg,10 servings
60,6606344,Chocolate Decadence Cake I,,,,16 ,16,425,31g,19g,133mg,167mg,39g,2g,34g,5g,38mg,2mg,182mg,4.6,90,,,1 to 10 - inch round cake
61,6569125,Passover Sponge Cake,30 mins, 1 hr 10 mins, 1 hr 40 mins,14 ,14,148,3g,1g,117mg,37mg,28g,0g,22g,4g,16mg,1mg,53mg,4.2,18,,1mg,1 to 10 - inch tube pan
