,id_recipe,name,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rise Time:,Stand Time:,Bake Time:,Additional Time:,Rest Time:,Freeze Time:,Active Time:,Fry Time:
10,7111578,Classic Glazed Doughnuts,45 mins,10 mins,, 3 hrs 30 mins,20 ,20 doughnuts,,,,,,,,,,,,,,,,, 2 hrs 5 mins,30 mins,,,,,,
11,7109372,Semla (Swedish Fat Tuesday Buns),45 mins,,, 3 hrs 17 mins,12 ,12 semla buns,12,515,28g,13g,76mg,193mg,58g,3g,,9g,,,,230mg,5.0,2, 2 hrs 20 mins,,12 mins,,,,,
12,6577497,Grandma's Best Zucchini Bread,20 mins, 1 hr 10 mins,, 3 hrs 30 mins,24 ,2 9x5-inch loaves,24,225,10g,2g,23mg,73mg,32g,1g,19g,3g,2mg,16mg,1mg,79mg,4.7,37,,,, 2 hrs,,,,
13,7108604,Air Fryer Pretzel Crescent Rolls,5 mins,,,5 mins,8 ,,8,110,6g,2g,,2090mg,11g,,,2g,,,,1mg,5.0,1,,,,,,,,
14,6562112,Pumpkin Protein Muffins,20 mins,15 mins,,35 mins,24 ,24 muffins,24,171,8g,5g,31mg,321mg,23g,3g,10g,5g,1mg,29mg,2mg,137mg,,,,,,,,,,
15,7095787,Pepper Jack Cornbread Biscuits,30 mins,,,50 mins,14 ,14 biscuits,14,188,9g,5g,23mg,411mg,24g,1g,,3g,,,,73mg,5.0,2,,,20 mins,,,,,
16,7094756,Adjarian Khachapuri,40 mins,25 mins,, 3 hrs 10 mins,4 ,4 khachapuri,4,715,31g,16g,88mg,814mg,78g,3g,,30g,,,,292mg,3.5,2,, 2 hrs 5 mins,,,,,,
17,6663416,Green Onion Garlic Naan Bread,20 mins,3 mins,,38 mins,6 ,6 naan breads,6,282,5g,3g,10mg,368mg,53g,3g,,10g,,,,419mg,4.6,10,,,,,15 mins,,,
18,6892134,Orange Cinnamon Rolls,45 mins,,, 2 hrs 50 mins,12 ,12 orange cinnamon rolls,12,536,28g,17g,108mg,416mg,59g,1g,,14g,,,,441mg,4.5,2, 1 hr 30 mins,10 mins,25 mins,,,,,
19,6891180,"""Thousand Layer"" Chocolate Brioche",45 mins,,20 mins, 5 hrs 40 mins,8 ,8 pastries,8,521,22g,12g,134mg,269mg,71g,3g,,12g,,,,206mg,4.3,4, 3 hrs,10 mins,25 mins,,, 1 hr,,
20,6891086,Mochi Donuts,,,10 mins, 1 hr 20 mins,9 ,9 donuts,9,355,11g,3g,33mg,233mg,62g,2g,,5g,,,,49mg,,,,,,,,, 1 hr,10 mins
21,6836099,Chef John's Parker House Rolls,45 mins,,, 4 hrs 10 mins,24 ,24 rolls,24,152,7g,4g,31mg,130mg,20g,1g,,3g,,,,46mg,4.7,3, 3 hrs,,25 mins,,,,,
22,6745326,Eggnog Cinnamon Rolls,45 mins,25 mins,15 mins, 4 hrs 25 mins,12 ,12 eggnog cinnamon rolls,12,511,25g,15g,85mg,371mg,67g,2g,,7g,,,,122mg,4.8,5, 3 hrs,,,,,,,
23,6585801,Quick Whole Wheat Chapati,10 mins,10 mins,,20 mins,8 ,8 servings,8,127,1g,0g,,221mg,27g,5g,0g,5g,,14mg,2mg,152mg,4.8,21,,,,,,,,
24,6831139,Homemade Mini Cinnamon Rolls,35 mins,,10 mins, 3 hrs 45 mins,8 ,32 mini cinnamon rolls,8,642,21g,13g,99mg,283mg,103g,2g,,11g,,,,176mg,5.0,1, 2 hrs 30 mins,,22 mins,,,,,
25,6752540,Gingerbread Cinnamon Rolls,45 mins,,15 mins, 3 hrs 50 mins,12 ,,12,530,24g,15g,77mg,370mg,73g,2g,,7g,,,,219mg,1.0,1, 2 hrs 25 mins,,25 mins,,,,,
26,6583633,Lasagna Flatbread,25 mins,15 mins,,40 mins,6 ,6 servings,6,602,37g,16g,134mg,1679mg,31g,11g,6g,44g,3mg,683mg,2mg,537mg,4.5,42,,,,,,,,
27,6825961,Cinnamon Babka,30 mins,,30 mins, 3 hrs 55 mins,12 ,1 cinnamon babka,12,276,12g,7g,61mg,229mg,38g,2g,,5g,,,,64mg,,, 2 hrs 10 mins,,45 mins,,,,,
28,6665023,Golden Sweet Cornbread,10 mins,20 mins,,30 mins,12 ,1 (9-inch) round cornbread,12,189,7g,1g,17mg,354mg,28g,1g,12g,3g,,107mg,1mg,77mg,4.8,"3,913",,,,,,,,
29,6664511,To Die For Blueberry Muffins,15 mins,20 mins,,35 mins,8 ,8 large muffins,8,383,16g,5g,39mg,322mg,57g,1g,34g,4g,2mg,95mg,2mg,73mg,4.6,"15,006",,,,,,,,
30,6663850,Banana Banana Bread,15 mins, 1 hr,, 1 hr 15 mins,12 ,1 9x5-inch loaf,12,229,9g,5g,51mg,223mg,35g,2g,14g,4g,4mg,20mg,1mg,204mg,4.6,"16,413",,,,,,,,
31,6663152,Mom's Zucchini Bread,15 mins,40 mins,, 1 hr 15 mins,24 ,2 (8x4-inch) loaves,24,255,13g,2g,23mg,180mg,32g,1g,19g,3g,2mg,26mg,1mg,74mg,4.8,"11,512",,,,20 mins,,,,
32,6650456,Banana Chocolate Chip Bread,15 mins, 1 hr 10 mins,, 1 hr 35 mins,10 ,1 9x5-inch loaf,10,378,16g,9g,62mg,490mg,58g,3g,34g,5g,3mg,50mg,2mg,235mg,4.8,"1,430",,,,10 mins,,,,
33,6648543,Easy Homemade Pizza Dough,10 mins,15 mins,,45 mins,8 ,1 12-inch pizza crust,8,170,4g,1g,,293mg,28g,1g,1g,5g,,7mg,2mg,55mg,4.7,"3,923",,,,20 mins,,,,
34,6648200,Banana Muffins,10 mins,25 mins,,35 mins,12 ,12 muffins,12,187,6g,3g,29mg,275mg,32g,1g,17g,3g,3mg,25mg,1mg,146mg,4.8,"4,934",,,,,,,,
35,6565970,Cinnamon Roll Monkey Bread,10 mins,20 mins,,35 mins,8 ,,8,246,11g,5g,15mg,337mg,35g,1g,13g,2g,0mg,18mg,1mg,29mg,5.0,1,,,,5 mins,,,,
36,6651195,Homemade Flour Tortillas,30 mins,30 mins,, 1 hr,24 ,2 dozen,24,86,1g,1g,1mg,138mg,16g,1g,0g,2g,,26mg,1mg,23mg,4.6,"1,500",,,,,,,,
37,6649845,Janet's Rich Banana Bread,10 mins, 1 hr,, 1 hr 20 mins,10 ,1 9x5-inch loaf,10,291,16g,8g,30mg,295mg,36g,1g,,3g,0mg,25mg,1mg,66mg,4.8,"10,290",,,,10 mins,,,,
38,6650088,Best Bread Machine Bread,10 mins,40 mins,, 3 hrs,12 ,1 loaf,12,174,5g,1g,,195mg,27g,1g,2g,4g,,6mg,2mg,46mg,4.7,"3,723",,,, 2 hrs 10 mins,,,,
39,6649717,Chocolate Chip Muffins,15 mins,20 mins,,35 mins,12 ,1 dozen,12,249,10g,3g,17mg,233mg,38g,1g,20g,4g,,96mg,2mg,94mg,4.0,"1,558",,,,,,,,
40,6663335,Downeast Maine Pumpkin Bread,10 mins,50 mins,, 1 hr,24 ,2 (9x5-inch) loaves,24,263,10g,2g,31mg,305mg,41g,1g,26g,3g,1mg,14mg,1mg,69mg,4.8,"10,306",,,,,,,,
41,6663557,Scones,10 mins,15 mins,,25 mins,8 ,8 scones,8,397,19g,12g,71mg,595mg,51g,1g,14g,7g,0mg,220mg,3mg,110mg,4.6,"1,421",,,,,,,,
42,6649875,Best Monkey Bread,15 mins,40 mins,, 1 hr 5 mins,15 ,1 tube pan,15,378,15g,3g,1mg,746mg,57g,1g,,5g,,52mg,2mg,133mg,4.7,"2,235",,,,10 mins,,,,
43,6739313,Best Ever Muffins,10 mins,25 mins,,35 mins,12 ,1 dozen,12,182,6g,1g,17mg,233mg,30g,1g,14g,3g,,97mg,1mg,59mg,4.5,"1,259",,,,,,,,
44,6650741,Amazingly Easy Irish Soda Bread,15 mins,45 mins,, 1 hr,20 ,1 (1 1/2-pound) loaf,20,172,8g,3g,16mg,269mg,23g,1g,3g,4g,0mg,53mg,1mg,56mg,4.5,"1,652",,,,,,,,
45,6649341,Quick Cinnamon Rolls,20 mins,20 mins,,40 mins,18 ,18 cinnamon rolls,18,223,10g,6g,37mg,262mg,32g,1g,20g,3g,,62mg,1mg,54mg,3.9,516,,,,,,,,
46,6663469,Basic Biscuits,15 mins,10 mins,,25 mins,10 ,10 biscuits,10,191,11g,3g,2mg,225mg,20g,1g,1g,3g,,81mg,1mg,54mg,4.5,"1,211",,,,,,,,
47,6648387,No-Yeast Pizza Crust,15 mins,,,25 mins,8 ,1 12-inch pizza crust,8,112,4g,1g,0mg,216mg,17g,1g,1g,3g,0mg,59mg,1mg,51mg,4.5,504,,,,10 mins,,,,
48,6663436,Chef John's Buttermilk Biscuits,20 mins,15 mins,,35 mins,12 ,12 biscuits,12,143,7g,4g,19mg,321mg,17g,1g,1g,3g,0mg,71mg,1mg,51mg,4.7,"1,520",,,,,,,,
49,6664124,Classic Dinner Rolls,20 mins,25 mins,, 1 hr 25 mins,12 ,12 rolls,12,108,2g,1g,6mg,115mg,19g,1g,3g,3g,,16mg,1mg,38mg,4.5,760,,,,40 mins,,,,
50,6650503,Churros,10 mins,10 mins,,20 mins,4 ,,4,4263,455g,30g,0mg,268mg,57g,1g,33g,3g,0mg,13mg,2mg,37mg,4.4,831,,,,,,,,
51,6596545,Almond Flour Bread,10 mins,40 mins,, 1 hr,8 ,1 (8 x 4-inch) loaf,8,229,20g,2g,93mg,309mg,7g,4g,1g,9g,,100mg,1mg,78mg,4.4,174,,,,10 mins,,,,
52,6650039,Simple Scones,15 mins,15 mins,,35 mins,8 ,8 scones,8,319,16g,9g,60mg,249mg,41g,1g,15g,5g,0mg,58mg,2mg,143mg,4.9,"3,016",,,,5 mins,,,,
53,6740965,Classic Bran Muffins,15 mins,15 mins,,30 mins,12 ,12 muffins,12,168,7g,1g,16mg,262mg,26g,4g,9g,4g,0mg,58mg,2mg,166mg,4.8,"1,850",,,,,,,,
54,6649532,Grandmother's Buttermilk Cornbread,15 mins,30 mins,,45 mins,9 ,1 8x8-inch pan,9,284,12g,7g,59mg,318mg,39g,1g,17g,5g,0mg,45mg,2mg,98mg,4.8,"7,468",,,,,,,,
55,6738854,Thin-Crust Pizza Dough,10 mins,,,15 mins,4 ,1 12-inch crust,4,232,1g,0g,,294mg,48g,2g,0g,7g,,12mg,3mg,87mg,4.7,293,,,,5 mins,,,,
56,6663528,Two-Ingredient Pizza Dough,15 mins,10 mins,,25 mins,8 ,1 12-inch crust,8,116,3g,1g,6mg,314mg,18g,1g,1g,4g,,79mg,1mg,29mg,4.6,308,,,,,,,,
57,6648670,Banana Oat Muffins,15 mins,20 mins,,35 mins,12 ,12 muffins,12,200,8g,1g,17mg,296mg,30g,2g,12g,4g,2mg,72mg,1mg,137mg,4.5,"1,589",,,,,,,,
58,6650301,Quick and Easy Yorkshire Pudding,10 mins,30 mins,,40 mins,12 ,,12,83,4g,2g,53mg,40mg,9g,0g,1g,3g,,33mg,1mg,59mg,4.4,494,,,,,,,,
59,6663275,Red Lobster Cheddar Biscuits,10 mins,15 mins,,25 mins,12 ,24 small biscuits,12,190,11g,7g,45mg,366mg,17g,1g,,6g,0mg,138mg,1mg,61mg,4.6,224,,,,,,,,
60,6739341,Easy Pumpkin Muffins,10 mins,20 mins,,30 mins,12 ,,12,200,5g,1g,1mg,369mg,37g,2g,20g,2g,2mg,70mg,1mg,110mg,4.5,838,,,,,,,,
61,6650566,Chocolate Chip Pumpkin Bread,20 mins, 1 hr,, 1 hr 20 mins,30 ,3 (9x5-inch) loaves,30,252,11g,2g,25mg,201mg,37g,1g,24g,3g,1mg,17mg,1mg,86mg,4.7,863,,,,,,,,
62,6650628,Homemade Arepas,10 mins,20 mins,,30 mins,8 ,8 arepas,8,96,1g,0g,,293mg,20g,1g,,2g,,2mg,,1mg,4.5,61,,,,,,,,
