,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Stand Time:,Yield:,Marinate Time:,Rest Time:,Additional Time:,Active Time:,Chill Time:,Grill Time:,Bake Time:
50,6648412,Tater Tot Casserole,5 mins,40 mins,45 mins,4 ,4,345,24g,10g,65mg,700mg,17g,1g,1g,19g,1mg,213mg,2mg,313mg,4.5,564,,,,,,,,,
51,6649620,Baked Ziti,15 mins,45 mins, 1 hr,10 ,10,578,25g,13g,71mg,914mg,58g,6g,14g,28g,4mg,359mg,4mg,721mg,4.7,"8,735",,1 9x13-inch casserole,,,,,,,
52,6738826,Hamburger Steak with Onions and Gravy,15 mins,25 mins,40 mins,4 ,4,319,19g,6g,115mg,597mg,14g,1g,3g,23g,4mg,50mg,3mg,387mg,4.6,"4,288",,,,,,,,,
53,6649763,Stuffed Peppers,5 mins, 1 hr 25 mins, 1 hr 30 mins,6 ,6,248,9g,4g,46mg,564mg,26g,4g,6g,16g,96mg,40mg,3mg,659mg,4.4,"2,040",,6 stuffed peppers,,,,,,,
54,6663165,Juiciest Hamburgers Ever,15 mins,10 mins,35 mins,8 ,8,288,18g,7g,96mg,196mg,9g,1g,2g,22g,1mg,53mg,3mg,314mg,4.4,"1,286",,8 servings,,,10 mins,,,,
55,6665025,Simple Beef Stroganoff,5 mins,15 mins,20 mins,4 ,4,679,41g,17g,159mg,660mg,48g,3g,2g,29g,1mg,76mg,4mg,460mg,4.1,992,,,,,,,,,
56,6664293,Homemade Lasagna, 1 hr 25 mins, 1 hr 15 mins, 2 hrs 50 mins,8 ,8,638,27g,13g,161mg,2053mg,54g,5g,4g,46g,13mg,637mg,5mg,785mg,4.6,351,,1 9x13-inch lasagna,,,10 mins,,,,
57,6651165,The Best Meatballs,30 mins,30 mins, 1 hr,8 ,8,613,53g,15g,149mg,333mg,7g,0g,0g,27g,1mg,190mg,2mg,315mg,4.7,"1,618",,,,,,,,,
58,6648974,Italian Baked Meatballs,15 mins,30 mins,45 mins,6 ,6,343,20g,8g,135mg,612mg,14g,1g,1g,24g,2mg,100mg,3mg,213mg,4.6,126,,,,,,,,,
59,6648642,Easy Homemade Chili,10 mins,20 mins,30 mins,6 ,6,394,9g,4g,46mg,526mg,49g,18g,4g,31g,16mg,151mg,8mg,1061mg,4.3,469,,,,,,,,,
60,6664404,Mississippi Pot Roast,5 mins, 8 hrs, 8 hrs 5 mins,8 ,8,553,46g,21g,153mg,1053mg,3g,0g,,29g,0mg,31mg,4mg,467mg,4.7,432,,,,,,,,,
61,6663160,Instant Pot Corned Beef,5 mins, 1 hr 30 mins, 2 hrs,4 ,4,417,28g,9g,146mg,1697mg,5g,0g,,28g,1mg,25mg,3mg,253mg,4.6,209,,4 servings,,,25 mins,,,,
62,6737604,Air Fryer Meatballs,10 mins,20 mins,35 mins,4 ,4,457,33g,13g,114mg,634mg,8g,1g,,30g,1mg,146mg,3mg,402mg,4.8,42,,16 meatballs,,,5 mins,,,,
