,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron
24,6602633,Meaty Homemade Dog Treats,25 mins,25 mins,50 mins,36 ,3 dozen dog treats,,,,,,,,,,,4.6,62,,,,,
25,6649148,Buddy's and Bubba's Homemade Dog Food,45 mins, 1 hr 30 mins, 2 hrs 15 mins,10 ,10 1/2 cup servings,,,,,,,,,,,4.4,110,,,,,
26,6600460,Best Friend Doggie Biscuits,20 mins,15 mins,35 mins,12 ,,,,,,,,,,,,4.8,79,,,,,
27,6575982,Sweet Potato Chews for Dogs,, 2 hrs 30 mins, 2 hrs 30 mins,36 ,36 chews,36,11,,,,7mg,3g,0g,0g,43mg,5.0,2,,1g,0mg,4mg,0mg
28,6561988,Homemade Dog Food with Meat and Vegetables,15 mins,45 mins, 1 hr 35 mins,10 ,10 servings,10,938,44g,14g,147mg,796mg,78g,18g,60g,1452mg,5.0,5,35 mins,14g,30mg,234mg,10mg
29,6585678,2-Ingredient Dog Treats,15 mins,20 mins, 1 hr 5 mins,38 ,38 treats,38,12,0g,,,1mg,3g,0g,1g,19mg,5.0,2,30 mins,0g,0mg,2mg,0mg
30,6601282,Pup-Cakes,10 mins,15 mins,25 mins,12 ,12 pupcakes,12,115,5g,2g,37mg,79mg,15g,2g,5g,102mg,4.6,49,,2g,1mg,70mg,1mg
31,6599336,Brie's Turkey and Cranberry Dog Bones,20 mins,55 mins, 1 hr 15 mins,45 ,45 dog treats,,,,,,,,,,,4.9,14,,,,,
32,6597978,Sparky's Doggie Treats,20 mins,15 mins, 1 hr 35 mins,100 ,100 small treats,,,,,,,,,,,4.9,93, 1 hr,,,,
33,6605527,Delicious Dog Treats,45 mins,35 mins, 1 hr 20 mins,54 ,4 1/2 dozen,,,,,,,,,,,4.5,44,,,,,
34,6575394,Easy Dog Cupcakes,10 mins,20 mins,30 mins,8 ,8 cupcakes,8,111,5g,1g,23mg,204mg,15g,3g,4g,132mg,,,,8g,0mg,13mg,1mg
35,6565649,DIY Wholesome Homemade Dog Food,10 mins,45 mins,55 mins,6 ,6 servings,6,322,19g,4g,116mg,316mg,16g,2g,23g,373mg,,,,2g,6mg,123mg,4mg
36,6598373,Dog Biscuits I,15 mins,25 mins,40 mins,24 ,2 dozen,,,,,,,,,,,4.5,70,,,,,
37,6578647,Homemade Grain-Free Organic Dog Food, 1 hr,20 mins, 9 hrs 50 mins,30 ,30 1-cup servings,30,275,18g,8g,27mg,131mg,21g,6g,9g,422mg,,, 8 hrs 30 mins,12g,16mg,61mg,2mg
38,6583684,Doggie Biscuits II,30 mins,45 mins, 14 hrs 35 mins,18 ,18 large biscuits,,,,,,,,,,,4.9,7, 13 hrs 20 mins,,,,
39,6585481,Doggie Treats II,15 mins,35 mins,50 mins,48 ,4 dozen,,,,,,,,,,,4.8,29,,,,,
