,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Vitamin C,Rise Time:,Bake Time:,Cool Time:
33,6650700,Saltine Toffee Cookies,10 mins,15 mins,55 mins,35 ,,35,150,10g,5g,14mg,73mg,15g,1g,12g,1g,11mg,0mg,57mg,4.7,"1,622",30 mins,,,,
34,6649041,Extreme Banana Nut Bread 'EBNB',15 mins, 1 hr, 1 hr 50 mins,24 ,2 9x5-inch loaves,24,232,12g,6g,51mg,268mg,30g,1g,19g,3g,14mg,1mg,114mg,4.7,"2,731",35 mins,2mg,,,
35,6663955,Mexican Wedding Cookies,20 mins,15 mins, 1 hr 55 mins,36 ,36 cookies,36,104,7g,3g,14mg,1mg,10g,1g,,1g,9mg,0mg,29mg,4.6,357, 1 hr 20 mins,,,,
36,6650919,Homemade Beef Jerky,15 mins, 3 hrs, 6 hrs 15 mins,6 ,,6,286,11g,4g,81mg,2179mg,14g,1g,7g,33g,55mg,6mg,679mg,4.7,218, 3 hrs,6mg,,,
37,6741040,Peanut Butter Bars,25 mins,, 1 hr 25 mins,12 ,12 bars,12,532,37g,17g,41mg,320mg,49g,3g,38g,9g,26mg,2mg,275mg,4.6,"3,059", 1 hr,,,,
38,6582751,Homemade Pickling Spice,10 mins,,10 mins,6 ,about 1/4 cup,6,29,1g,0g,,4mg,4g,2g,0g,1g,44mg,1mg,60mg,4.8,24,,1mg,,,
39,6649184,Amish White Bread,20 mins,30 mins, 2 hrs 25 mins,24 ,2 9x5-inch loaves,24,168,3g,0g,,147mg,31g,1g,6g,4g,6mg,2mg,50mg,4.8,"6,404", 1 hr 35 mins,,,,
40,6649453,Chocolate-Covered Strawberries,15 mins,5 mins,20 mins,24 ,,24,115,7g,4g,6mg,31mg,13g,0g,11g,1g,28mg,0mg,29mg,4.8,"1,219",,11mg,,,
41,6664042,Chocolate Trifle,30 mins,25 mins, 9 hrs 25 mins,12 ,,12,488,19g,12g,12mg,314mg,74g,2g,31g,5g,108mg,1mg,244mg,4.7,"2,168", 8 hrs 30 mins,1mg,,,
42,6650096,Homemade Limoncello,20 mins,20 mins,21 days 40 mins,34 ,,,,,,,,,,,,,,,4.5,179,21 days,,,,
43,6648375,Banana Crumb Muffins,15 mins,20 mins,35 mins,10 ,10 muffins,10,263,8g,5g,38mg,353mg,46g,2g,27g,3g,43mg,1mg,168mg,4.8,"14,636",,3mg,,,
44,6649336,Raspberry and Almond Shortbread Thumbprints,30 mins,15 mins,45 mins,36 ,3 dozen,36,104,5g,3g,14mg,37mg,14g,0g,8g,1g,3mg,0mg,9mg,4.7,"2,802",,,,,
45,6741043,Biscotti,15 mins,40 mins, 1 hr 10 mins,36 ,36 cookies,36,83,3g,1g,13mg,40mg,12g,0g,5g,1g,23mg,1mg,16mg,4.7,"1,122",15 mins,,,,
46,6594202,The Best Caramel Apples,15 mins,30 mins, 2 hrs 15 mins,8 ,,8,799,28g,17g,78mg,269mg,142g,5g,113g,5g,210mg,1mg,491mg,4.5,144, 1 hr 30 mins,11mg,,,
47,6737419,"Sweet, Salty, Spicy Party Nuts",10 mins,20 mins,30 mins,16 ,4 cups,16,219,18g,2g,2mg,206mg,13g,2g,8g,5g,38mg,1mg,171mg,4.8,432,,0mg,,,
48,6648378,Too Much Chocolate Cake,15 mins,50 mins, 2 hrs 35 mins,12 ,1 12-cup bundt cake,12,600,39g,13g,79mg,550mg,61g,2g,44g,8g,83mg,3mg,388mg,4.8,"7,680", 1 hr 30 mins,0mg,,,
49,6578083,Blackened Seasoning Mix,5 mins,,5 mins,12 ,1/4 cup,12,9,0g,,,1mg,2g,1g,1g,0g,16mg,1mg,47mg,4.7,175,,1mg,,,
50,6650991,Italian Seasoning,5 mins,,5 mins,10 ,10 tablespoons,10,14,0g,0g,0mg,3mg,3g,2g,0g,1g,73mg,3mg,84mg,4.8,80,,2mg,,,
51,6648904,Coconut Macaroons,10 mins,15 mins,25 mins,12 ,1 dozen,12,287,12g,11g,11mg,187mg,41g,4g,30g,4g,98mg,1mg,252mg,4.6,"1,584",,1mg,,,
52,6740969,Banana Pudding,30 mins,, 3 hrs 30 mins,12 ,1 (9x13-inch) dish,12,388,15g,10g,33mg,334mg,55g,1g,37g,7g,191mg,1mg,397mg,4.8,"3,754", 3 hrs,4mg,,,
53,6650444,Rolo Pretzel Turtles,10 mins,5 mins,15 mins,20 ,20 candies,20,82,2g,1g,0mg,263mg,14g,1g,2g,2g,11mg,1mg,34mg,4.8,"1,651",,,,,
54,6650368,Candied Almonds,5 mins,15 mins,35 mins,8 ,2 cups,8,304,18g,1g,,1mg,33g,5g,27g,8g,97mg,2mg,263mg,4.6,454,15 mins,,,,
55,6648936,Chantal's New York Cheesecake,30 mins, 1 hr, 7 hrs 30 mins,12 ,1 9-inch cheesecake,12,533,36g,21g,159mg,380mg,44g,1g,32g,10g,114mg,2mg,191mg,4.7,"7,364", 6 hrs,0mg,,,
56,6740957,Banana Sour Cream Bread,10 mins, 1 hr, 1 hr 10 mins,32 ,4 7x3-inch loaves,32,263,10g,5g,35mg,200mg,40g,1g,23g,4g,30mg,1mg,144mg,4.8,"5,911",,2mg,,,
57,6579943,Herbs de Provence,5 mins,,5 mins,48 ,1 cup,48,4,0g,,,1mg,1g,0g,,0g,20mg,1mg,21mg,4.8,62,,1mg,,,
58,6598591,Canned Apple Pie Filling,30 mins,10 mins, 1 hr,56 ,7 quarts,56,97,0g,,,85mg,25g,1g,21g,0g,5mg,0mg,54mg,4.6,396,20 mins,3mg,,,
59,6649449,Sugar Coated Pecans,10 mins, 1 hr, 1 hr 10 mins,12 ,1 pound,12,328,27g,2g,,150mg,22g,4g,18g,4g,28mg,1mg,160mg,4.9,"2,301",,0mg,,,
60,6650723,Buckeye Balls,45 mins,10 mins, 1 hr 25 mins,60 ,5 dozen,60,102,6g,2g,4mg,41mg,11g,1g,,2g,3mg,0mg,52mg,4.6,943,30 mins,,,,
61,6568961,Scotcharoos,15 mins,15 mins,50 mins,24 ,24 bars,24,240,11g,4g,,140mg,34g,1g,16g,5g,9mg,3mg,119mg,4.6,395,20 mins,5mg,,,
62,6737893,Homemade Irish Cream,5 mins,,5 mins,16 ,4 cups,,,,,,,,,,,,,,4.7,741,,,,,
