,id_recipe,Cook Time:,Chill Time:,Rest Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Prep Time:,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron,Marinate Time:,Yield:
36,6578651,30 mins,,, 1 hr 30 mins,4 ,4,748,57g,25g,215mg,1175mg,7g,1g,41g,706mg,4.7,317, 1 hr,,0g,3mg,109mg,4mg,,
37,6573049,20 mins,,,40 mins,2 ,2,1289,97g,55g,436mg,1355mg,22g,5g,83g,1679mg,4.6,25,20 mins,,10g,15mg,358mg,9mg,,2 servings
38,6603183,20 mins,,, 1 hr 55 mins,2 ,2,3274,215g,60g,196mg,1359mg,232g,9g,69g,1420mg,4.7,19,35 mins, 1 hr,8g,5mg,123mg,18mg,,
39,6593410, 1 hr 10 mins,,, 1 hr 20 mins,4 ,4,1456,134g,74g,496mg,1568mg,9g,1g,55g,880mg,4.8,232,5 mins,5 mins,1g,4mg,337mg,5mg,,
40,6574457,55 mins,,, 1 hr 55 mins,8 ,8,669,55g,22g,144mg,1043mg,5g,,35g,638mg,4.7,313,30 mins,30 mins,3g,1mg,118mg,4mg,,
41,6594057,20 mins,,, 4 hrs 50 mins,8 ,8,883,74g,18g,116mg,3290mg,8g,1g,29g,602mg,4.6,178,30 mins, 4 hrs,3g,1mg,43mg,5mg,,
42,6586084,15 mins,,, 8 hrs 35 mins,4 ,4,297,14g,5g,113mg,1830mg,3g,1g,38g,616mg,4.7,37,20 mins, 8 hrs,1g,4mg,19mg,5mg,,
43,6598744,10 mins,,,20 mins,8 ,8,379,24g,13g,142mg,180mg,2g,0g,34g,524mg,5.0,3,10 mins,,1g,4mg,50mg,2mg,,8 filets
44,6736895,15 mins,,, 1 hr,4 ,4,590,43g,16g,125mg,689mg,13g,2g,35g,571mg,4.7,382,15 mins,30 mins,7g,7mg,206mg,3mg,,
45,6576285,25 mins,,,35 mins,4 ,4,383,29g,12g,85mg,286mg,9g,0g,21g,478mg,4.5,105,10 mins,,2g,4mg,42mg,3mg,,4 servings
46,6582829,15 mins,,, 1 hr 30 mins,6 ,6,1027,65g,22g,212mg,693mg,42g,2g,60g,854mg,4.5,23,30 mins,45 mins,1g,3mg,66mg,7mg,,
47,6585741,20 mins,,,35 mins,2 ,2,1031,82g,47g,373mg,905mg,8g,0g,64g,796mg,5.0,3,15 mins,,1g,3mg,422mg,3mg,,2 servings
48,6562120,40 mins,,, 1 hr 10 mins,6 ,6,447,36g,18g,95mg,1031mg,12g,1g,19g,574mg,4.0,2,30 mins,,2g,3mg,67mg,3mg,,6 servings
49,6596038,20 mins,,, 1 hr 10 mins,10 ,10,431,27g,14g,91mg,852mg,28g,2g,21g,139mg,4.7,3,20 mins,30 mins,2g,0mg,196mg,1mg,,10 servings
50,6585473,10 mins,,,20 mins,4 ,4,250,9g,3g,90mg,93mg,8g,0g,32g,444mg,3.5,2,10 mins,,7g,2mg,32mg,2mg,,4 steaks
51,6597211,15 mins,,, 1 hr 25 mins,4 ,4,438,27g,10g,94mg,127mg,22g,2g,26g,532mg,4.4,35,10 mins, 1 hr,20g,49mg,39mg,4mg,,4 servings
52,6574622,,,,55 mins,8 ,8,321,27g,10g,64mg,393mg,2g,0g,17g,271mg,4.8,54,15 mins,40 mins,1g,3mg,33mg,6mg,,8 servings
53,6565263,15 mins,,, 4 hrs 30 mins,2 ,2,497,18g,6g,141mg,2919mg,18g,3g,52g,984mg,,,15 mins, 4 hrs,8g,6mg,91mg,8mg,,2 servings
54,6599623,20 mins,,,40 mins,4 ,4,320,7g,2g,14mg,523mg,59g,2g,6g,233mg,4.3,3,20 mins,,6g,7mg,52mg,2mg,,4 servings
55,6582767,35 mins,,, 6 hrs 55 mins,8 ,8,683,56g,22g,161mg,831mg,2g,0g,41g,710mg,4.6,67,20 mins, 6 hrs,0g,3mg,28mg,6mg,,8 servings
56,6591916,40 mins,,,50 mins,12 ,12,205,15g,6g,58mg,187mg,0g,0g,17g,261mg,4.8,10,10 mins,,,0mg,13mg,4mg,,12 servings
57,6595206,10 mins,,,35 mins,8 ,8,167,10g,3g,48mg,406mg,2g,0g,16g,223mg,4.5,78,15 mins,10 mins,2g,1mg,18mg,1mg,,1 pound
58,6738893,5 mins,,, 2 hrs,4 ,4,267,14g,6g,58mg,888mg,17g,2g,19g,467mg,4.2,126,20 mins, 1 hr 35 mins,10g,23mg,60mg,3mg,,4 servings
59,6578198, 1 hr,,, 2 hrs,6 ,6,861,58g,16g,54mg,280mg,53g,3g,22g,628mg,4.3,37, 1 hr,,7g,8mg,45mg,5mg,,1 9-inch deep dish pie
60,6593492,30 mins,,, 1 hr,6 ,6,492,18g,6g,109mg,409mg,58g,3g,23g,485mg,4.2,19,30 mins,,3g,9mg,44mg,5mg,,24 sushi pieces
61,6576053,40 mins,,,55 mins,4 ,4,1202,104g,49g,441mg,887mg,34g,1g,34g,509mg,4.4,23,15 mins,,1g,3mg,147mg,4mg,,4 servings
62,6588146,20 mins,,, 1 hr 30 mins,2 ,2,533,44g,21g,131mg,1236mg,6g,2g,28g,541mg,4.6,50,10 mins, 1 hr,1g,2mg,46mg,5mg,,2 servings
