,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Vitamin C,Bake Time:,Rest Time:,Additional Time:
37,6592796,Siopao (Filipino Steamed Buns),30 mins,, 1 hr 45 mins,16 ,16 servings,16,153,4g,1g,,74mg,26g,1g,6g,3g,5mg,1mg,37mg,4.0,3,,,, 1 hr 15 mins
38,6586308,Potato Dumplings,30 mins,20 mins,50 mins,8 ,8 servings,8,136,1g,0g,23mg,211mg,28g,2g,1g,4g,63mg,1mg,300mg,4.5,23,6mg,,,
39,6651159,Momma's Best Chicken and Dumplings,30 mins, 1 hr 28 mins, 2 hrs 33 mins,8 ,8 servings,8,405,19g,7g,83mg,718mg,28g,2g,1g,28g,144mg,3mg,328mg,4.9,42,2mg,,,35 mins
40,6597639,Pioneer Cut Dumplings from the 1800's,10 mins,5 mins,35 mins,8 ,8 servings,8,195,2g,1g,26mg,458mg,37g,1g,2g,7g,46mg,2mg,104mg,4.7,121,0mg,,,20 mins
41,6579872,Siopao (Filipino Steamed Dumplings),45 mins,30 mins, 1 hr 55 mins,15 ,15 pieces,15,346,11g,3g,34mg,270mg,44g,2g,5g,16g,17mg,1mg,167mg,3.3,25,1mg,,,40 mins
42,6592490,Homemade Gluten-Free Gnocchi,30 mins,55 mins, 1 hr 40 mins,8 ,,8,107,1g,0g,23mg,160mg,23g,2g,1g,3g,16mg,1mg,370mg,4.5,6,17mg,,,15 mins
43,6584718,Quick Gnocchi,10 mins,5 mins,15 mins,2 ,2 servings,2,462,4g,1g,93mg,1225mg,91g,4g,1g,15g,35mg,5mg,399mg,4.5,494,20mg,,,
44,6605217,Mom's Simple Dumplings,10 mins,20 mins,30 mins,6 ,12 dumplings,6,186,7g,2g,2mg,466mg,26g,1g,2g,4g,131mg,2mg,80mg,4.6,150,0mg,,,
45,6664858,Easy Chicken and Dumplings,15 mins,35 mins,50 mins,6 ,,6,310,9g,3g,45mg,1362mg,35g,2g,6g,20g,129mg,2mg,373mg,4.7,176,4mg,,,
46,6589216,Gyoza,30 mins,15 mins,45 mins,10 ,30 gyoza,10,184,9g,2g,38mg,546mg,19g,1g,1g,8g,30mg,2mg,156mg,4.4,203,7mg,,,
47,6663630,Potato Klubb (Norwegian Potato Dumplings),30 mins, 1 hr, 1 hr 30 mins,8 ,8 servings,8,378,23g,15g,61mg,911mg,38g,3g,1g,5g,31mg,2mg,371mg,4.6,31,15mg,,,
48,6602185,Yaki Mandu,30 mins,15 mins,45 mins,25 ,25 dumplings,25,125,6g,2g,28mg,246mg,12g,1g,0g,6g,24mg,1mg,91mg,4.4,13,2mg,,,
49,6593651,Herbed Dumplings,5 mins,15 mins,20 mins,6 ,6 servings,6,182,7g,4g,18mg,772mg,26g,1g,2g,4g,118mg,2mg,90mg,4.5,272,0mg,,,
50,6596752,Semmelknoedel (Bread Dumplings),30 mins,20 mins,50 mins,4 ,4 servings,4,506,12g,6g,113mg,1220mg,79g,4g,8g,21g,169mg,5mg,345mg,4.5,84,4mg,,,
51,6601648,Easy Homemade Dumplings,10 mins,,10 mins,6 ,6 dumplings,6,173,1g,1g,3mg,568mg,34g,1g,2g,6g,144mg,2mg,106mg,4.2,27,0mg,,,
52,6576662,Ukrainian Olha's Varenyky (Perogies), 1 hr, 1 hr, 2 hrs,10 ,10 servings,10,636,28g,17g,76mg,919mg,82g,7g,8g,16g,231mg,5mg,908mg,4.4,42,45mg,,,
53,6571308,Campbell's® Slow-Cooker Chicken and Dumplings,20 mins, 8 hrs, 8 hrs 20 mins,8 ,8 servings,8,331,12g,4g,52mg,994mg,34g,4g,4g,22g,96mg,2mg,283mg,4.0,130,1mg,,,
54,6604814,Chicken and Dumplings I,20 mins, 2 hrs, 2 hrs 20 mins,6 ,6 servings,6,349,14g,4g,82mg,141mg,32g,1g,0g,23g,64mg,3mg,174mg,4.1,140,,,,
55,6739432,Tamales Rojos de Pollo (Red Chicken Tamales), 1 hr, 1 hr 20 mins, 4 hrs 35 mins,35 ,35 tamales,35,131,8g,3g,15mg,229mg,12g,2g,0g,5g,30mg,1mg,109mg,5.0,1,0mg,,, 2 hrs 15 mins
56,6741675,Gnocchi Bake,5 mins,30 mins,35 mins,8 ,8 servings,8,321,20g,9g,49mg,852mg,20g,2g,5g,15g,199mg,2mg,374mg,4.4,308,2mg,,,
57,6581936,Gnocchi with Tomato Sauce and Mozzarella,10 mins,20 mins,30 mins,2 ,2 servings,2,744,40g,19g,88mg,1101mg,73g,10g,2g,30g,817mg,9mg,1565mg,4.6,19,50mg,,,
58,6600254,Lazy Man's Pierogi,30 mins,45 mins, 1 hr 15 mins,8 ,8 servings,8,356,11g,4g,14mg,1093mg,52g,4g,6g,14g,46mg,4mg,438mg,4.4,72,10mg,,,
59,6739529,Potato and Cheese Pierogi, 2 hrs,10 mins, 2 hrs 10 mins,60 ,20 dozen,60,97,2g,1g,15mg,103mg,15g,1g,1g,4g,48mg,1mg,135mg,4.3,68,3mg,,,
60,6593600,Dim Sum Asian Dumplings,40 mins,20 mins, 1 hr,5 ,40 dumplings,5,344,18g,5g,66mg,139mg,26g,2g,3g,20g,27mg,3mg,377mg,4.5,13,6mg,,,
61,6574278,Irish Chicken and Dumplings,,,,6 ,6 servings,6,595,9g,3g,58mg,2402mg,94g,8g,14g,34g,162mg,6mg,1376mg,4.6,"1,318",45mg,,,
62,6572961,Spaetzle and Chicken Soup,20 mins, 2 hrs, 2 hrs 20 mins,8 ,8 servings,8,562,25g,7g,223mg,648mg,45g,4g,5g,36g,92mg,5mg,711mg,4.6,64,8mg,,,
