,id_recipe,Step_Count,Step Description
29,6648992,3,"Stir in onion, bell peppers, celery, okra and garlic; cook and stir until vegetables are tender, 8 to 10 minutes. Stir in Cajun seasoning."
30,6648992,4,"Pour in broth; bring to a boil. Cook and stir for 1 minute. Reduce heat to low; add sausage, pepper sauce, black pepper and salt. Cover and simmer for 15 minutes."
31,6648992,5,"Remove the lid and bring to a boil; add shrimp and cook until shrimp turn pink, about 3 minutes."
32,6648992,6,Portion rice into bowls. Ladle gumbo over rice.
33,6578787,1,"Turn on a multi-functional pressure cooker (such as Instant Pot) and select Sauté function. Add 1 tablespoon oil, chicken, and sausage to the pot; cook for 6 minutes. Remove meat with a slotted spoon and set aside. Add 1/2 cup oil and flour to the pot. Whisk until roux is the color of peanut butter, about 10 minutes. Add onion, bell pepper, celery, and garlic. Cook, stirring continually to prevent burning, for 5 minutes. Turn the pot off."
34,6578787,2,"Add broth, tomatoes, okra, black pepper, cayenne pepper, thyme, Creole seasoning, and Worcestershire sauce to the pot. Stir in cooked chicken and sausage. Close and lock the lid. Select high pressure according to manufacturer's instructions and set the timer for 4 minutes. Allow 10 to 15 minutes for pressure to build."
35,6578787,3,"Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Serve immediately."
36,6605392,1,"Season the shrimp with salt, pepper and cayenne to taste and set aside. Heat the oil in a large pot over medium heat. Add the okra and saute for 30 minutes, stirring occasionally. Add the tomato paste, tomato, onion, garlic, celery and green bell pepper and saute for 15 more minutes."
37,6605392,2,"Add the water and season to taste. Bring to a boil, reduce heat to low and simmer for 45 minutes. Add the shrimp and simmer for 20 more minutes. Finally, add the green onion to the soup and stir thoroughly."
38,6572913,1,"Heat 1 tablespoon oil in a large saucepan over medium heat. Stir in garlic, onion, and green bell pepper, and saute until tender. Stir in okra, mushrooms, diced tomatoes and their liquid, tomato paste, file powder, bay leaves, salt, and pepper. Cook, stirring occasionally, 40 minutes."
39,6572913,2,"Heat 2 tablespoons oil in a medium skillet over medium heat. Stirring constantly, add flour, and cook 2 to 5 minutes, until a golden brown roux has formed."
40,6572913,3,"Spoon the roux into the okra mixture, and continue to cook, stirring occasionally, 5 to 10 minutes, until thickened."
41,6739143,1,"Combine the red, white, and black peppers, paprika, thyme, oregano, bay leaf, and salt; set aside."
42,6739143,2,"In a heavy pot, 5 quart or larger, heat oil over medium heat, warming the pot first. Add onions, celery, and green pepper. Turn heat to high. Stirring frequently, add garlic, file, hot sauce, and the pepper-herb mixture. Cook for 5 minutes, stirring constantly."
43,6739143,3,"Add tomato sauce, and stir as it reduces over high heat. Add fish stock and bring to a boil. Reduce heat, and simmer for 1 hour, stirring occasionally."
44,6739143,4,"When ready to serve, add shrimp, oysters, and crabmeat. Cover, and wait 5 minutes. Turn off heat, and let stand for 10 minutes. Serve."
45,6650481,1,"Brown the sausage in a skillet over medium heat, discard the fat in the skillet, and drain the sausage slices on paper towels to absorb any excess grease. Set the sausage aside. Cook and stir the chopped bacon in the skillet until crisp, 6 to 8 minutes, remove the bacon, and set aside. Stir the okra into the hot bacon drippings, and cook and stir until the okra is tender, about 5 minutes. Drain the okra in a colander, and discard bacon drippings."
46,6650481,2,"Place the okra and diced tomatoes in a saucepan over medium heat, and bring to a simmer. Reduce heat to medium-low, and simmer the okra mixture for about 10 minutes."
47,6650481,3,"In a large soup pot, melt the butter over medium heat, and cook and stir the onion, green onions, green pepper, celery, parsley, and garlic until the onion begins to turn brown, about 10 minutes. Remove the vegetables but leave the butter in the pot. Stir in the flour, reduce heat to low, and cook the roux, stirring constantly, until it turns the color of milk chocolate, 30 to 45 minutes. Do not let the roux burn."
48,6650481,4,"When the roux reaches its correct color, whisk in 2 cups of water. Raise the heat to medium; stir in salt, pepper, cayenne pepper, thyme, and bay leaves, bring the mixture to a boil, and stir in the sausage, bacon, okra-tomato mixture, and 6 more cups of water. Reduce heat to medium-low, and simmer the gumbo, stirring occasionally, until the soup has thickened and the flavors are blended, about 45 minutes. Stir in the shrimp, and simmer until they turn pink and opaque, 6 to 8 more minutes. Discard bay leaves and adjust the seasonings, if desired, before serving."
49,6580814,1,"Fill a large pot partially with lightly salted water, and place the chicken in the pot. Bring to a boil, reduce the heat to a simmer, and cook the chicken until the meat is no longer pink and the juices run clear, about 1 hour. Remove the chicken from the broth, and crack open the carcass to allow the chicken to cool. Reserve the chicken broth. After the chicken has cooled enough to handle, pick the meat from the bones, and set aside."
50,6580814,2,"While the chicken is simmering, make a roux by whisking together the flour and vegetable oil in a large, heavy saucepan over medium-low heat. Cook and stir the mixture, watching constantly to avoid burning, until the roux is a rich chocolate brown color, 20 to 30 minutes."
51,6580814,3,"As soon as the roux has reached the desired color, stir in the onions, bell peppers, celery, Cajun seasoning, and bay leaves, and simmer, stirring occasionally, until the vegetables are tender, about 45 minutes. Pour in the reserved chicken broth, diced tomatoes, and beef sausage, and simmer, stirring occasionally, until the mixture has thickened, about 1 hour."
52,6580814,4,"Mix in the reserved chicken meat and okra, bring back to a simmer, and cook, stirring occasionally, until the okra is tender and the flavors have blended, 30 to 40 minutes."
53,6602416,1,Preheat oven to 375 degrees F (190 degrees C).
54,6602416,2,"Shell and devein the shrimp, reserve the shells. Place the shrimp in a covered bowl and refrigerate. Place the shells on a cookie sheet, and bake until the shells are dried and starting to brown on the edges. Turn off the oven."
55,6602416,3,"Make the stock: In a 8 quart pot, put 5 quarts of water, 4 carrots, 4 onions, and celery. Add 2 bay leaves, sliced garlic, parsley, cloves, 1 teaspoons black pepper, 1 tablespoon dried basil and 2 teaspoons dried thyme. Add the shrimp shells. Bring the stock slowly to boil. Reduce heat to a gentle simmer and cook 5 to 7 hours, replacing water as needed, 2 or 3 times, by pouring more water down side of pot."
56,6602416,4,"Remove stock from heat and strain. Press all liquid from the shells and vegetables, then discard them. Return liquid to heat and reduce stock to 2 to 3 quarts, or to your desired quantity (you will need 7 cups of this stock for this recipe). If clarity is desired, strain the stock through a cloth."
57,6602416,5,"In a small bowl, combine the ground red, white, and black peppers, paprika, thyme, oregano, bay leaf and salt and set aside."
58,6602416,6,"In a heavy pot, 5-quart or larger, heat oil over medium heat, warming the pot first. Add onions, celery and green pepper. Turn heat to high. Stirring frequently, add garlic, file, hot pepper sauce, and the pepper-herb mixture. Cook for 5 minutes, stirring constantly. Add tomato sauce and stir as it reduces over high heat. Add 7 cups of the stock and bring to a boil. Reduce heat and simmer for 1 hour, stirring occasionally."
59,6602416,7,"When ready to serve, add shrimp, oysters, and crabmeat. Cover and wait 5 minutes. Turn off heat and let stand for 10 minutes."
60,6588553,1,"Combine water and chicken in large pot. Bring to boil. Reduce heat and simmer until chicken is tender, about 1 hour. Using tongs, transfer chicken to strainer and cool, saving cooking liquid. Remove meat from bones in pieces."
61,6588553,2,"Heat 2 tablespoons oil in heavy skillet over medium heat. Add okra and cook until no longer sticky, stirring frequently, about 20 minutes; set aside."
62,6588553,3,"Stir flour and remaining 1/2 cup oil in heavy large Dutch oven. Cook over medium heat until deep golden brown, stirring frequently, about 6 minutes. Add 4 cups reserved chicken cooking broth, okra, andouille sausage, tomatoes with their juices, bell pepper, celery, garlic, bay leaf, salt, thyme, basil, cayenne, and pepper. Cover partially and simmer until thickened, about 1 1/2 hours."
63,6588553,4,"Spoon off any fat from surface of gumbo. Add chicken and file powder to gumbo and simmer gently 15 minutes. (If preparing ahead, cover and refrigerate. Bring to simmer before serving.) Mound rice in shallow bowls if desired. Ladle gumbo over and serve."
64,6600103,1,"Cook and stir flour in a large, heavy pot over medium-low heat until flour turns golden brown, about 15 minutes. Pour browned flour into a bowl and return pot to heat."
65,6600103,2,"Increase heat to medium and add oil to the pot. Cook and stir onions and bell peppers in hot oil until slightly softened, about 7 minutes."
66,6600103,3,"Stir garlic, thyme, and bay leaves into onion mixture; cook and stir for 1 minute. Add sausage to onion mixture and cook and stir until browned and crumbly, 5 to 10 minutes."
67,6600103,4,"Stir diced tomatoes with juice, shredded chicken, chicken broth, vegetable juice cocktail, browned flour, and Creole seasoning into sausage mixture. Bring to a boil, reduce heat to low, cover the pot, and simmer, stirring often, until mixture is hot and flavors blend, 20 to 30 minutes."
68,6600103,5,"Pour shrimp into sausage-chicken mixture; bring to a simmer. Cook shrimp until they are pink on the outside and the meat is no longer transparent in the center, about 5 minutes."
69,6600103,6,Discard bay leaves. Season gumbo with salt and pepper to taste.
70,6582717,1,"Put flour into a Dutch oven or large heavy pot and add flour. Turn heat to medium-high, put the pot on the burner, and cook, stirring constantly with a wooden spoon, until thick and bubbly, has a 'peanutty' smell, and is dark brown, about 10 minutes. Set aside to cool and thicken."
71,6582717,2,"Melt butter in a skillet over medium heat. Cook and stir celery, green onions, and bell pepper in hot butter until tender, about 10 minutes; add to pot with the roux."
72,6582717,3,"Stir water, tomato sauce, Worcestershire sauce, garlic, 2 teaspoons salt, hot pepper sauce, and thyme into the vegetable mixture. Bring the mixture to a gentle boil, reduce heat to medium-low, and simmer for 1 hour."
73,6582717,4,"Stir okra into the vegetable mixture and cook until tender, about 15 minutes. Add catfish, stir gently, and cook until the flesh is easily flaked with a fork, about 5 minutes. Gently stir shrimp into the mixture; cook until the shrimp are bright pink, about 3 minutes. Season with the file powder and salt; stir."
74,6588329,1,"Heat the vegetable oil in a saucepan over medium-high heat. Whisk in the flour to form a thick paste until smooth, about 3 minutes."
75,6588329,2,"Reduce heat to medium and continue cooking, whisking constantly, until the flour turns a dark reddish-brown roux, about 15 minutes. Set aside to cool."
76,6588329,3,Pour water into a slow cooker.
77,6588329,4,"Stir in the roux, sausage, chicken, okra, onion, bell pepper, celery, garlic, salt, black pepper, and cayenne pepper."
78,6588329,5,Cover and cook on Low for 6 to 7 hours.
79,6588329,6,Skim off fat with a spoon.
80,6599157,1,"Heat oil in a large skillet over high heat. Stir in flour and cook, stirring constantly, for 5 minutes or until mixture is the color of a copper penny. Reduce heat to low and stir in bell pepper and onion. Cook 10 to 15 minutes, or until tender, stirring occasionally."
81,6599157,2,"Add chicken, tomatoes with green chile peppers, mushrooms, parsley, Worcestershire sauce, garlic, soy sauce, sugar, salt, pepper and hot sauce. Stir together, cover and simmer for 20 minutes. Add chicken broth or water if mixture is too thick for your liking."
82,6737082,1,"Heat oil in a medium skillet over medium high heat, and cook chicken until no longer pink and juices run clear. Stir in sausage, and cook until evenly browned. Drain chicken and sausage, and set aside."
83,6737082,2,"In a large, heavy saucepan over medium heat, blend olive oil and flour to create a roux. Stir constantly until browned and bubbly. Mix in garlic, and cook about 1 minute."
84,6737082,3,"Gradually stir chicken broth and beer into the roux mixture. Bring to a boil, and mix in celery, tomatoes, sweet onion, diced tomatoes with green chile peppers, red chile peppers, parsley, and Cajun seasoning. Reduce heat, cover, and simmer about 40 minutes, stirring often."
85,6737082,4,"Mix chicken, sausage, and shrimp into the broth mixture. Cook, stirring frequently, about 20 minutes."
86,6570099,1,"Place chicken in a large pot; add enough water to cover. Cover the pot and bring to a boil; reduce heat to medium-low and simmer until meat falls off the bone, about 90 minutes. Remove chicken, let cool, and shred meat; skim broth and reserve."
87,6570099,2,"Melt butter in a large skillet over medium heat; cook and stir onions, bell pepper, and celery until tender, about 5 minutes. Stir in garlic and cook until fragrant, about 1 minute. Add diced tomatoes, tomatoes with green chilies, andouille sausage, okra, corn, salt, pepper, cayenne pepper, and reserved broth; bring to a gentle boil over medium-high heat. Simmer until liquid is reduced by half, about 30 minutes."
88,6570099,3,"Mix shredded chicken and shrimp into the skillet; simmer until shrimp turns bright pink and okra is tender, 5 to 7 minutes. Remove the skillet from heat and stir in file powder. Serve with rice."
89,6577212,1,Bring water to a boil. Season with garlic powder and hot pepper sauce. Add in carrots and mushrooms. Cook for 5 minutes.
90,6577212,2,"Add okra, wild rice, and chicken. Reduce the heat to low, and cook for 3 hours."
91,6577212,3,"Add pasta and cook for 10 minutes. Season with salt and pepper. Serve hot, garnished with green onions."
92,6580240,1,"Heat olive oil in a large saucepan over medium heat. Add onion, pepper, and celery; cook until tender."
93,6580240,2,"Pour in chicken broth; stir in rice, black-eyed peas with liquid, diced tomatoes with green chiles, diced tomatoes, and garlic. Bring to a boil, reduce heat to low, and simmer for 45 minutes, or until rice is tender. Add water if gumbo is too thick."
94,6595761,1,"Melt butter in a large skillet over medium heat. Cook garlic, onions, celery, and okra, stirring constantly until golden brown. Set aside."
95,6595761,2,"In a large heavy-bottomed stock pot over medium-high heat, combine 1/4 cup butter and flour. Cook, stirring constantly, until the roux becomes chocolate brown. Stir in the vegetable mixture, and stew meat. Cook, stirring, until vegetables are tender, and meat is evenly brown. Stir in water, tomatoes, and sugar. Season with parsley, thyme, bay leaves, salt, cayenne pepper, and black pepper. Bring to a boil, reduce heat, and simmer for 2 1/2 hours, stirring occasionally."
96,6595761,3,"Add shrimp, crabmeat, and andouille to the stock pot. Stir in hot pepper sauce and Worcestershire sauce. Remove seeds from lemon and squeeze juice into the stock pot. Simmer an additional 10 minutes, stirring occasionally. Remove bay leaves, sprinkle with filé powder, and serve over rice."
97,6739345,1,"Heat oil in a skillet over medium heat. Cook duck legs in the hot oil, skin-side down, until browned and fat has rendered, about 10 minutes. Flip and cook for 3 to 4 minutes on other meat side. Transfer to a plate, leaving rendered fat in the skillet."
98,6739345,2,"Whisk 1 cup flour into the duck fat, adding enough oil to make a thick and smooth roux. Reduce the heat to medium-low and cook, stirring constantly, until it turns a rich, reddish-brown color, about 40 minutes. Whisk 2 more tablespoons flour into roux and cook for 2 minutes."
99,6739345,3,"Whisk in broth, 1 cup at a time, until incorporated. Remove from the heat."
100,6739345,4,"Cook sausage in a large Dutch oven over medium heat until browned, about 8 minutes. Stir in onion, peppers, celery, and chopped green onions; cook and stir until onion is translucent, about 10 minutes. Stir in black pepper, thyme, cayenne pepper, and bay leaf, followed by diced tomatoes. Stir to combine."
101,6739345,5,"Place smoked ham hock into the center of the Dutch oven. Pour roux mixture over ham hock along with enough water to cover. Place duck legs into the mixture. Bring to a simmer, then reduce the heat to low. Cover with a lid set at an angle to let steam out. Simmer slowly, stirring occasionally, until duck and ham hock meat are tender, about 4 hours. Skim as much fat as possible off the top as it simmers."
102,6739345,6,Transfer duck legs and ham hock to a bowl and let cool. Stir pickled okra into gumbo. Pick meat from duck legs and pork hock and return meat to the gumbo. Simmer gumbo for 45 more minutes.
103,6739345,7,"Increase the heat to medium-high and bring to a boil. Stir in shrimp and crawfish tails; cook until both are bright pink, about 3 minutes. Stir in remaining 1 tablespoon sliced green onion, taste and adjust seasoning, and serve."
104,6572283,1,"Peel back chicken drumstick and breast skin without removing it all the way; make several deep cuts in the meat. Sprinkle 3 teaspoons Cajun seasoning into the cuts and onto the meat, then replace the skin. Whisk 1/2 cup olive oil and white wine together in a large bowl. Add chicken, spoon marinade over top, then cover and refrigerate for 1 hour."
105,6572283,2,"Remove chicken from marinade and shake off excess; discard remaining marinade. Heat 1/4 cup olive oil in a large skillet over medium heat until shimmering. Add chicken, working in batches if necessary, and cook until browned, about 5 minutes per side. Transfer chicken to a large soup pot and pour broth over top. Bring to a boil, then reduce the heat and simmer until chicken is tender, about 20 minutes."
106,6572283,3,"While the chicken is simmering, cook onion, bell pepper, and celery in a skillet with 3 tablespoons of olive oil, stirring occasionally, until onion is transparent and pepper has softened, about 8 minutes. Remove from the heat and set aside."
107,6572283,4,"Mix flour and canola oil together in a nonstick pan to make a roux; stir until smooth and lump-free. Heat over medium-high heat, stirring constantly with a wooden spoon and scraping the bottom of the pan to prevent burning. After about 5 minutes of stirring, the roux will begin to turn a pale golden color and gently bubble and foam. Stir roux until it turns the color of milk chocolate and gives off a nutty fragrance, 30 to 40 more minutes. Watch carefully so it doesn't burn. Remove from the heat and stir until roux cools and stops cooking, about 5 more minutes."
108,6572283,5,"Stir onion mixture and 1 cup boiling water into roux; be careful to avoid spattering. Heat over medium heat until mixture comes to a simmer. Whisk until roux and water combine and become thick, about 10 minutes. Add thickened roux to the chicken, stir together, and add remaining 9 cups boiling water. Season with remaining 2 teaspoons Cajun seasoning and bring to a rolling boil. Reduce the heat and simmer for 1 hour."
109,6572283,6,Sprinkle garlic powder and cayenne pepper over smoked sausage. Brown sausage in a skillet with 2 tablespoons of olive oil. Transfer sausage to the soup and simmer for 30 more minutes. Remove chicken from the pot and take meat off bones; discard skin and bones. Return meat to the soup and simmer for 15 more minutes. Skim off the layer of oil that forms on the top.
110,6572283,7,"While the gumbo is simmering, bring rice and 3 cups water to a boil in a saucepan over high heat. Reduce the heat to medium-low, cover, and simmer until rice is tender and liquid has been absorbed, 20 to 25 minutes."
111,6572283,8,"Serve gumbo over hot, cooked rice with a generous sprinkling of chopped green onions over each serving."
112,6604173,1,Peel and devein shrimp. Place shrimp into a bowl; cover and refrigerate until needed. Place shrimp heads and shells into a large pot.
113,6604173,2,"Pour 2 quarts water into the pot, cover, and simmer over medium-low heat until liquid is reduced by half. Strain out and discard shrimp heads and shells. Reserve shrimp broth."
114,6604173,3,"Heat oil in a very large stockpot over medium-high heat. Add flour; cook and stir with a long-handled spoon until dark brown and flour puffs and starts to absorb oil, 10 to 15 minutes. Slowly stir in chicken broth and 1 cup water. Place chicken into the pot; add tomatoes, onions, celery, bell pepper, garlic, seafood seasoning, salt, cayenne pepper, and bay leaves. Bring to a boil and cook until chicken is no longer pink at the bone and the juices run clear, about 1 1/2 hours. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read 165 degrees F (74 degrees C)."
115,6604173,4,Remove chicken from the pot and set aside until cool enough to handle. Remove and discard bones; chop meat into 1-inch pieces.
116,6604173,5,"Return chopped chicken to the pot, along with reserved shrimp broth, crabmeat, sausage, shrimp, and filé powder; stir from the bottom of the pot to combine. Bring to a boil, then immediately remove from the heat."
117,6604173,6,Stir gumbo from the bottom for 1 minute. Remove bay leaves and serve.
118,6739603,1,Preheat the oven to 400 degrees F (200 degrees C).
119,6739603,2,"Stir flour, oil, and melted butter together to form a paste. Transfer roux to the center of a large roasting pan and spread out into a rough rectangle about 1/2-inch thick, leaving enough room around the outside to place chicken and sausage."
120,6739603,3,"Lay chicken thighs, skin-side down, and sausage pieces around roux in the pan. Season chicken generously with salt."
121,6739603,4,"Bake in the preheated oven for 40 minutes. Remove from the oven and scatter onion, celery, and bell pepper evenly over chicken, sausage, and roux. Briefly stir roux in the center, then spread it back out. Continue baking for 20 minutes."
122,6739603,5,"Remove from the oven. Transfer chicken and sausage to a plate and reserve until needed. Stir vegetables and roux together in the pan, spread back out into an even layer, and bake until roux is as browned as you like, about 20 minutes."
123,6739603,6,"Meanwhile, make the cooking liquid: Mix chicken broth, salt, pepper, thyme, cayenne, and bay leaf in a large bowl or pitcher. Refrigerate until needed."
124,6739603,7,"When the vegetables and roux are finished baking, pour cooking liquid into the pan and whisk until well combined. Stir in tomatoes and okra, then add sausage and chicken, skin-side up. Continue baking, stirring gently and occasionally, until liquid is thick and chicken is very tender, 30 to 40 minutes more."
125,6739603,8,Taste and adjust seasonings as desired. Garnish with green onions.
126,6584606,1,"Peel shrimp and toss shells with 1/2 tablespoon of Cajun seasoning. Place seasoned shells into a pot with water, 1 tablespoon diced onion, and 1 tablespoon diced bell pepper. Bring to a boil; reduce to a simmer and cover. Let cook for at least 2 hours; the longer it cooks, the more flavor will be in your stock."
127,6584606,2,"Meanwhile, devein shrimp by gently running a knife along the back; this will also make your shrimp plump nicely when cooking. Toss shrimp in remaining Cajun seasoning and place in the refrigerator."
128,6584606,3,"Melt butter in a large pot over medium-high heat. Add flour slowly, stirring constantly with a whisk or wooden spoon. When all flour is added, continue stirring frequently until roux turns brown in color and has a nutty aroma, about 5 minutes. Add remaining onion and bell pepper; saute with roux until onion is translucent, 5 to 7 minutes. Stir in tomato paste."
129,6584606,4,"Stir in tomatoes, okra, and shrimp stock slowly. Add crab boil seasoning. Bring to a boil; reduce heat to a simmer and let cook, uncovered, stirring occasionally, about 1 hour. Stir in shrimp and continue cooking until shrimp are bright pink but not tough, about 20 minutes."
130,6592115,1,"Turn on a multi-functional pressure cooker (such as Instant Pot) and select Saute function. Add butter, followed by celery, onion, bell pepper, and garlic. Cook and stir until vegetables are softened, 5 to 7 minutes. Sprinkle 2 tablespoons flour over and stir to thoroughly coat."
131,6592115,2,Pour in 1 1/2 cups chicken broth while continuing to stir vegetables. Pour in beer. Set an elevated trivet on top of the mixture. Pour water and rice into a small silicone bowl and set on top of trivet. Cancel Saute mode. Seal and lock the lid into place.
132,6592115,3,Select high pressure according to manufacturer's instructions; set timer for 15 minutes. Allow 10 to 15 minutes for pressure to build.
133,6592115,4,"Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes."
134,6592115,5,"Switch to Saute function. Remove rice and trivet carefully. Add shrimp, cod, scallops, Cajun seasoning, Worcestershire, salt, thyme, and cayenne to the Instant Pot."
135,6592115,6,"Whisk remaining flour with remaining chicken broth in a small bowl. Pour into the pot and mix together. Stir frequently and allow to thicken and cook until shrimp are bright pink, cod is easily flaked with a fork, and scallops are opaque, 5 to 10 minutes. Serve with a scoop of rice."
136,6569051,1,"Heat a large skillet over medium heat. Add flour; cook, stirring constantly, until flour is deep golden and smells toasty, 7 to 10 minutes. Reduce heat if browning too quickly. Transfer to a 6-quart slow cooker."
137,6569051,2,"Add oil, bell peppers, onion, and garlic to the skillet; cook and stir until tender, 5 to 7 minutes. Stir into slow cooker until coated. Stir in sausage, tomatoes, broth, Cajun seasoning, salt, and black pepper."
138,6569051,3,"Cook on Low for 6 to 7 hours or on High for 3 to 3 1/2 hours. Stir in shrimp; cook until opaque, about 30 minutes on Low or 15 minutes on High."
139,6569051,4,"Meanwhile, place riced cauliflower in a heatproof dish, cover, and microwave until heated through, about 4 minutes, stirring halfway through."
140,6569051,5,Serve gumbo over cauliflower. Sprinkle with parsley and additional black pepper.
141,6605401,1,"Combine vegetable oil and flour in a large stockpot over medium heat; cook, stirring often, until roux is dark brown, 10 to 15 minutes."
142,6605401,2,"Stir onion, celery, green onion, parsley, and garlic carefully into the hot roux; it may splatter. Cook and stir until onion mixture is tender, about 5 minutes. Pour in broth. Season with salt and red chile pepper. Simmer gumbo, covered, until flavors combine, about 15 minutes."
143,6605401,3,"Stir shrimp into the stockpot; cook until pink and opaque, 3 to 5 minutes."
144,6605401,4,Place 1/3 cup rice into each serving bowl. Ladle shrimp gumbo on top. Garnish with fresh parsley.
145,6594114,1,"In a medium skillet, brown the sausage over medium heat. Remove from pan, and drain on paper towels to remove some of the fat. Discard fat in pan."
146,6594114,2,"In a large skillet, heat vegetable oil over high heat. Brown chicken pieces in hot oil. Turn frequently until golden brown on all sides. Transfer chicken to a dish, leaving oil in pan. Set chicken aside, but keep warm."
147,6594114,3,"Make a roux by whisking flour into the hot vegetable oil. Turn heat down to low. Continue cooking flour and oil mixture, stirring constantly, until it reaches a dark brown color. This may take 30 to 45 minutes; the darker the roux, the better the final gumbo."
148,6594114,4,"When the roux is a dark brown color, quickly add the sausage, onion, green onion tops, green pepper, parsley, and garlic. Cook over low heat until the vegetables are wilted, about 10 minutes, stirring constantly."
149,6594114,5,"Stir in 2 cups water and spices. Add chicken parts. Add rest of the water slowly. Bring mixture to a boil, and reduce heat. Simmer for about 45 minutes, until chicken is done and tender."
